t,X_protein_Obs,Z_protein_Obs,GFP_Obs,GFP_mRNA_Obs
0,107.424179336966,-127.085739833166,-0.264995368933139,9.1262873512593e-06
5,NaN,NaN,NaN,-7.16577408802131e-08
10,NaN,NaN,NaN,1.81464973862425e-08
15,NaN,NaN,NaN,5.13813074739745e-08
20,NaN,NaN,NaN,-3.05123466549892e-08
30,NaN,8149.10124472581,NaN,-3.35083058768424e-08
35,5058.96351143418,NaN,NaN,4.99005659461547e-08
45,NaN,NaN,NaN,-5.51465909892011e-08
60,NaN,NaN,NaN,8.65982398939617e-08
65,2229.98516602495,2826.74009487798,1.95746696527218,NaN
100,908.105992446687,1024.23380612901,NaN,NaN
150,505.466836260506,471.879611095899,6.02320192344531,NaN
200,679.420950561451,467.115757479047,6.71200586964076,NaN
250,507.206990167874,336.924746248533,NaN,NaN
300,364.697093012412,334.418145794794,8.46604094106524,NaN
350,490.74967926322,NaN,7.70954832069232,NaN
450,474.375022303939,NaN,7.17585240535169,NaN
500,447.889144185021,NaN,NaN,NaN
600,NaN,NaN,7.3160107002093,NaN
700,NaN,NaN,7.85749205148095,NaN
900,NaN,NaN,8.1769487149058,NaN
1000,NaN,NaN,7.13587639182849,NaN
1500,NaN,NaN,7.72551147562097,NaN
