t,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,137.243387116947,1.61699720828235,-81.6522090779131,-3.93584127118568e-08,2.48896124688594e-06
5.5,NaN,4.01183664571648,NaN,NaN,NaN
7.5,74.5159290387646,NaN,NaN,NaN,NaN
8.5,NaN,NaN,-22.7261674246325,NaN,NaN
10,NaN,8.3666543707248,NaN,0.000287071807250129,NaN
15,47.9210968041289,12.5514338230944,-60.9826660844239,NaN,0.000392275126209024
20,58.3815850566354,NaN,NaN,NaN,NaN
25,NaN,13.8949901885342,16.6088150831287,0.000632618741470941,NaN
30,59.6666507236898,11.7028022652203,NaN,NaN,0.00045950606935073
35,NaN,12.2100915438803,127.458472474743,NaN,NaN
40,80.8904462198773,NaN,NaN,0.000650641022991886,0.000483521945058636
45,NaN,9.76672600505942,242.472213345816,NaN,NaN
50,55.7553605615363,NaN,NaN,0.000471292390972365,NaN
55,NaN,14.3946967465505,NaN,NaN,NaN
60,94.3682589418167,NaN,322.701417512901,NaN,0.000501692669666828
65,NaN,9.31711470375197,NaN,NaN,NaN
70,NaN,NaN,421.706061381262,0.000327779856988381,NaN
75,68.3117918012968,NaN,NaN,NaN,0.000392070971268453
80,NaN,11.5716978399655,NaN,NaN,NaN
85,NaN,NaN,428.583779800509,0.000403177685566695,NaN
90,108.101483639727,NaN,NaN,NaN,NaN
95,NaN,8.46467535740279,NaN,NaN,0.000420537547106722
100,68.1966992916624,9.77324790818453,327.356324163909,0.000220774591925706,0.000406661605282753
150,89.2355187339868,5.26059330608494,250.928211571677,8.76096129610236e-05,0.000245393943119847
200,NaN,NaN,199.03187003216,0.00017633880989576,0.000217220814212296
