t,EpoRJAK2_Obs,STAT5_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,4.63644360842635,137.518129999554,4.76480179593817,-3.4877162172049e-05,5.64335989390849e-05
9.5,4.50813651267366,NaN,NaN,NaN,NaN
10,NaN,NaN,20.9616784959277,NaN,NaN
15,NaN,58.0158755196692,NaN,NaN,9.94437765150117e-05
20,5.01993992042556,NaN,53.6400874526601,0.000246121553513029,NaN
25,NaN,93.6103838784798,NaN,NaN,NaN
30,6.2042113574909,NaN,NaN,NaN,0.000341517846315082
35,NaN,NaN,81.1379747114505,NaN,NaN
40,4.51391241077009,85.6915383277502,NaN,0.000446939740430104,NaN
45,NaN,NaN,141.093353009885,NaN,0.000414191616284225
55,5.27085125224733,126.510189968441,NaN,NaN,NaN
60,NaN,NaN,232.351086424482,0.000390291561580624,NaN
65,NaN,NaN,NaN,NaN,0.000329852597781396
70,6.88126464550982,73.4649310985318,NaN,NaN,NaN
75,NaN,NaN,284.632147758061,NaN,NaN
85,6.14912534315198,NaN,NaN,0.000380455938400863,0.000367474848952181
90,NaN,121.792987279034,NaN,NaN,NaN
95,NaN,NaN,313.877308768921,NaN,NaN
100,4.31129599727771,96.1966032082007,299.065092802696,0.000376282466316022,0.000388560835360793
150,5.68793902517562,94.8967233937836,293.239118870715,0.000324884368093754,0.000277925896033849
200,NaN,79.3828070588065,167.857370869732,0.000221780946240776,0.000252104994705458
250,NaN,89.1511594310361,278.555103069129,0.000256343855627275,0.000261802832936546
300,NaN,92.2532250500436,222.566204277544,0.000131250110826087,NaN
