t,EpoRJAK2_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,5.77342316615387,94.414809786712,1.83221571611456,34.5482139256634,-2.48288636516467e-05,6.19700443236684e-05,1.51190328282814e-05,-0.371173828831719
25,NaN,32.6798536096345,13.8023216557578,117.019775522171,NaN,NaN,NaN,NaN
30,5.56676821821325,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.752433649639736
45,NaN,NaN,NaN,286.387702870476,NaN,NaN,NaN,NaN
50,NaN,94.2379055045377,10.6753319328938,NaN,NaN,NaN,0.000442691197389217,NaN
55,6.8401449871151,NaN,NaN,NaN,0.000486648400133998,0.000487550845622457,NaN,NaN
70,NaN,NaN,NaN,430.88075943414,NaN,NaN,NaN,NaN
80,NaN,83.2918901312907,13.657466237967,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.81912003669225
90,9.68995960949072,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,8.20353446236313,83.227159293907,10.0375266149927,411.859748627063,0.000454844397515846,0.000387854292950592,0.000448445266295939,NaN
150,6.67467988334539,100.5010014498,8.29767585728784,284.921139081827,NaN,0.000256202211076606,0.000362608629917425,8.82228439229127
200,8.51430922190731,96.0319870192053,6.44663855544301,232.848248766191,0.000305906876617538,NaN,0.000217828605971815,9.76875649418801
250,7.64912625481722,138.273814670295,6.98992911514862,190.427954117541,0.00016089636935094,0.000275682774426307,NaN,11.1113102057193
300,NaN,NaN,6.35279965502201,249.55285817182,0.000155147719396378,0.000216612786469056,0.00032134865078765,10.5262336704516
350,NaN,122.96956763478,NaN,127.969034070826,NaN,NaN,0.000260192214730709,NaN
400,NaN,133.834223893517,5.69494433670089,232.724371978494,0.000133264572850996,0.000168849492708974,NaN,9.03700988242657
450,NaN,NaN,4.92068912240767,NaN,NaN,NaN,0.000260017546286889,11.5672136302912
500,NaN,93.9366005472595,NaN,162.624143080775,0.000211659234093913,0.00028298255147807,NaN,NaN
550,NaN,NaN,4.38062657830405,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,0.000131802923770169,0.000193495615062271,6.9922301117208
650,NaN,NaN,NaN,NaN,0.000217394846223806,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,0.000208048485833337,0.000152448409010443,8.30912560422984
800,NaN,NaN,NaN,NaN,0.000240035139465848,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,0.000224457421315612,NaN,6.23232589918048
