t,EpoRJAK2_Obs,STAT5_Obs,npSTAT5_Obs,EpoRpJAK2_Obs
0,6.9157143416842,147.278379435861,-5.3226538649944,0.0411560485321432
15,7.57377038436744,0.257627166309256,14.0413340501755,0.213970081657987
30,6.94138472618143,NaN,20.3506334946319,0.159956710898501
35,NaN,27.7049971407639,NaN,NaN
45,5.73911091005726,NaN,17.3492836882318,0.182714978492563
50,NaN,26.4790217560434,NaN,NaN
65,9.29174232913877,NaN,19.1782324495324,0.226059587272334
70,NaN,57.6194538337418,NaN,NaN
80,8.03941806189814,NaN,16.3367980264751,NaN
85,NaN,NaN,NaN,0.160787446308287
95,NaN,84.4478020096291,NaN,NaN
100,7.47726390463024,55.8590108370056,16.8001535805697,0.13435190829438
150,5.9779337261216,62.0542529834487,12.726802052526,0.16886992847494
200,4.84758015026542,76.5102699800067,11.4918532370563,0.159460249516283
250,6.46619556675153,92.0742596867508,11.1799279394463,0.173589365100012
300,NaN,81.5229112352206,7.41176882187076,0.12048972142771
350,NaN,109.517017828562,5.32755533935391,NaN
