t,epo_level,STAT5_Obs,CISnRNA4_Obs
84,2.5e-09,81.1562245924775,390.396346514181
84,2.5e-09,101.032862848249,301.811589347929
84,2.5e-09,40.6266636077327,449.562005339043
84,2.5e-08,46.19705270936,583.976454487374
84,2.5e-08,59.4467240455755,727.927908231024
84,2.5e-08,41.6327891406772,612.085813433713
84,1.25e-07,83.058750013126,447.947466174633
84,1.25e-07,53.9966388968565,529.258615530723
84,1.25e-07,71.7785739134679,508.552283925543
84,2.5e-07,98.2222119611467,145.00633638257
84,2.5e-07,117.7620622883,208.231515127833
84,2.5e-07,97.6938603517639,262.415424310905
84,2.5e-06,125.881184656975,11.3293301760352
84,2.5e-06,157.065552861276,-17.1150966673525
84,2.5e-06,112.986752433056,100.313550191931
