t,epo_level,SOCS3nRNA2_Obs
9,2.5e-09,-3.31972678084659e-05
9,7.905e-09,-1.52140063900557e-05
9,7.905e-09,-1.38630655127751e-05
9,7.905e-09,1.07709311433918e-05
9,1.25e-08,-2.14957443957261e-06
9,1.75e-08,2.04962187237608e-05
9,2.5e-08,2.95782639374057e-05
9,3.95e-08,0.000114429598188749
9,7.9e-08,4.74077226092848e-05
9,1.25e-07,0.000172062890845481
9,1.7675e-07,0.000164920933941737
9,1.7675e-07,0.000170120833903064
9,1.7675e-07,0.000189551314720355
9,2.5e-07,0.000242730011986076
9,2.5e-07,0.000266874601519532
9,2.5e-07,0.00027560510136962
9,7.905e-07,0.000359590795375082
9,2.5e-06,0.000421664474803863
9,2.5e-06,0.000463292030150444
9,2.5e-06,0.00046647921980187
