t,EpoRJAK2_Obs,STAT5_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,8.0756494901536,192.387072390981,2.12988089976184,-1.46537083587537e-06,1.12061543358357e-06
10,5.92915562966021,164.332853727407,NaN,-8.03822351316266e-07,7.08777535606012e-06
15,NaN,NaN,-5.54581801210532,NaN,NaN
25,8.44314667737248,158.631898472331,-3.03621044734859,1.838406318648e-05,1.81800827525674e-05
35,NaN,133.339107044461,NaN,3.33473666147998e-05,NaN
40,6.24937284749324,NaN,9.54326253318821,NaN,3.75119437375901e-05
45,NaN,157.026862341262,NaN,NaN,NaN
50,NaN,NaN,NaN,4.03953199541674e-05,NaN
55,8.78730515105429,NaN,18.6165773989743,NaN,4.30865995911624e-05
60,NaN,150.526091919708,NaN,NaN,NaN
65,NaN,NaN,NaN,4.31108142294207e-05,NaN
70,4.73016019946585,NaN,24.3741492965283,NaN,5.30507995458865e-05
75,NaN,92.5523133119271,NaN,NaN,NaN
80,NaN,NaN,NaN,4.39774233820551e-05,NaN
85,NaN,NaN,NaN,NaN,4.79137927593491e-05
90,8.27207305702886,NaN,35.6971481501618,NaN,NaN
95,NaN,138.377754581026,NaN,NaN,NaN
100,5.6756899220696,147.0474220537,33.6653387192757,4.89763237516908e-05,5.04516124146129e-05
150,5.98493601996555,118.401129883962,39.9224146195155,3.5286217785402e-05,4.83146484775544e-05
200,6.79661128722357,148.752226666501,32.468358938986,4.22585783298554e-05,3.56984249496668e-05
250,NaN,161.544901012238,31.1348835749785,2.73168206784656e-05,3.23763020676614e-05
300,NaN,106.914958016448,24.3530608986657,2.72605143890917e-05,1.8762735956754e-05
