t,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,169.090578597745,0.264440745427707,-50.8973786814474,2.04090176028002e-05,6.70514842559631e-05
7,NaN,1.74793691497102,NaN,NaN,NaN
8,87.9303838397563,NaN,NaN,NaN,NaN
8.5,NaN,NaN,-22.8300314034773,NaN,NaN
10,NaN,NaN,NaN,0.000157655183156462,2.4271383674945e-05
15,68.3885766807589,9.46065213060145,-19.4745675364089,NaN,NaN
20,NaN,9.10016233070807,NaN,NaN,NaN
25,75.5536092168505,NaN,60.6507854299122,0.000476412984080054,0.000297390467181895
30,NaN,10.8651247944058,NaN,NaN,NaN
35,104.174886681038,NaN,81.3218576572201,NaN,0.00036313166283638
40,NaN,8.12051934478953,NaN,0.000461691948438578,NaN
45,88.4842486245198,NaN,134.039973144336,NaN,NaN
50,NaN,12.7333834560454,NaN,0.000435615818518334,0.000403718113837439
55,65.7996951655128,NaN,NaN,NaN,NaN
60,NaN,6.96295822381567,291.647102361461,NaN,0.000410774050100635
65,70.5074475534888,NaN,NaN,NaN,NaN
70,NaN,NaN,327.107063070051,0.000318341741218335,NaN
75,NaN,8.49521474916599,NaN,NaN,0.000400317606929972
80,84.2671673642345,NaN,NaN,NaN,NaN
85,NaN,NaN,246.98891814449,0.000341922706763304,NaN
90,NaN,4.53052623925175,NaN,NaN,NaN
95,133.974051125316,NaN,NaN,NaN,0.000307741233542781
100,85.6598195070982,5.74170256922693,271.940270984781,0.00027540011705823,0.000332315635152182
150,102.414619155849,4.90590702546588,273.495518064421,0.000258572457154156,0.000196956030530113
200,111.232172705864,NaN,158.324539623491,0.000191861984953977,0.000239290029146341
