t,EpoRJAK2_Obs,STAT5_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,5.43637678203431,123.226894386512,-39.3058489617415,-6.99612799221221e-06,5.29200870879161e-05
9,7.62280617273271,NaN,NaN,NaN,NaN
10,NaN,108.905765753347,1.03863176267561,NaN,NaN
15,NaN,NaN,NaN,0.000124746013313113,3.95964725885137e-05
20,6.11237718720299,100.389522373422,NaN,NaN,NaN
25,NaN,NaN,35.8573900119978,NaN,NaN
30,8.78951432313429,NaN,NaN,0.000268390411077391,NaN
35,NaN,51.4342706479536,NaN,NaN,0.000258787593599653
40,9.11268168147329,NaN,108.615163735861,NaN,NaN
45,NaN,98.179857891377,NaN,NaN,NaN
50,7.26980015119907,NaN,NaN,0.000437130660423278,0.000423106388796596
55,NaN,77.5529850561957,142.516525052419,NaN,NaN
65,7.55125830058854,NaN,NaN,0.000434668968945472,NaN
70,NaN,82.0000708916001,267.055842149222,NaN,0.000371108951818713
80,8.06442952275513,NaN,NaN,NaN,NaN
85,NaN,143.25924096317,323.552236962035,0.000461914484688896,NaN
90,NaN,NaN,NaN,NaN,0.000347412692881226
95,8.12348405272985,NaN,NaN,NaN,NaN
100,8.54457998139596,93.7262182039686,315.457529095994,0.000416922077996229,0.000391996292161357
150,6.88334808390772,117.982606449802,291.756590725361,0.000310030088522318,0.000213661693321294
200,NaN,104.363636580691,224.11736310251,0.000292559506472321,0.000273640424255599
250,NaN,103.128017234482,266.873167861336,0.000200901063089621,0.000307682688146731
300,NaN,121.288435584563,173.86527231889,0.000273635026169279,0.000215882959528214
