t,epo_level,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
13,2.5e-09,0.000595260474397055,0.000574849886260242
13,2.5e-09,0.000669099283895644,0.000627963822167657
13,2.5e-09,0.00070353503662102,0.000612314127502576
13,2.5e-08,0.000729262331462633,0.000557062990739891
13,2.5e-08,0.000697626817317802,0.000587588114404107
13,2.5e-08,0.000599012053239478,0.000509914897265234
13,2.5e-07,0.000450880527690985,0.000310623846313185
13,2.5e-07,0.000338321250113637,0.000294049344877336
13,2.5e-07,0.000444672658534896,0.000385061213573184
13,2.5e-06,6.12525996111073e-05,8.134304085431e-05
13,2.5e-06,-2.78085982246265e-05,8.64546790661564e-05
13,2.5e-06,0.000192212403754015,0.000107725739805902
13,2.5e-05,5.16333967805306e-05,5.49795531030684e-05
13,2.5e-05,-8.83317920136423e-05,2.60871533041383e-05
13,2.5e-05,2.26639725171197e-05,5.95276932918728e-05
