t,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
0,140.199777420688,-0.323381562842138,4.79382151140338,-0.000116127885686718,7.20677469819769e-06
6.5,97.5823798281977,NaN,NaN,NaN,NaN
7,NaN,3.29707311333614,NaN,NaN,NaN
9,NaN,NaN,-5.56279715225269,NaN,NaN
10,NaN,NaN,NaN,8.27258236651743e-05,0.000138122686592698
15,95.3112597227736,6.24663599046306,NaN,NaN,NaN
20,98.0931038849403,5.83209878097607,3.5660912577294,0.000286881513533447,NaN
25,58.7834382843823,NaN,NaN,NaN,0.00037462043934219
30,NaN,12.4227819248613,118.69260418641,0.000435525321113389,NaN
35,77.6308875502136,10.7604242650429,NaN,NaN,NaN
40,111.804367329231,NaN,133.899216851313,NaN,0.000398543874192808
45,NaN,9.36279161906191,NaN,0.000325255401062754,NaN
50,59.4671691503531,NaN,253.01693314333,NaN,NaN
55,NaN,9.35536647324744,NaN,NaN,0.000396761394244945
60,90.8781822679271,NaN,NaN,0.000384842952981545,NaN
65,NaN,NaN,296.414262933949,NaN,NaN
70,NaN,9.39059360275361,NaN,NaN,0.000274676116124104
75,87.3995576963313,NaN,NaN,0.000382502564403474,NaN
80,NaN,10.6403955708732,316.917703307209,NaN,NaN
85,88.871055370538,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.000321997723129274,0.000277618724386962
100,94.4866805758915,7.46696487684854,292.722435201335,0.000296555760252711,0.00031799740086814
150,136.79843262418,5.90090596294405,201.585098890177,0.000161824471058437,0.000192615919674257
200,NaN,NaN,164.844380408014,9.13098845647051e-05,0.000167045329434769
