t,epo_level,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs
50,2.5e-09,8.51952304255971e-05,-2.79260669324699e-06
50,2.5e-09,0.000107198657670966,4.60192151289258e-05
50,2.5e-09,0.000198704468751315,-2.74101858791056e-05
50,2.5e-08,0.000281577228704412,0.000265820726962972
50,2.5e-08,0.000329095683064675,0.00027430857716847
50,2.5e-08,0.000389334806167636,0.000372152914658137
50,1.25e-07,0.000529891899868323,0.000618504758796831
50,1.25e-07,0.000540921592919833,0.000502871517144563
50,1.25e-07,0.000602869812117175,0.000637420588402008
50,2.5e-07,0.000507568833457382,0.000757673417148525
50,2.5e-07,0.000514628021993182,0.00050963278519391
50,2.5e-07,0.000757011401758549,0.000570001513150991
50,1.25e-06,0.000545103623780988,0.000834403186482111
50,1.25e-06,0.000692674832239615,0.000862939400089495
50,1.25e-06,0.000746411107136044,0.000685500635087827
50,2.5e-06,0.000673071050284847,0.000854195356293707
50,2.5e-06,0.000787484482151517,0.000956947346678285
50,2.5e-06,0.000871338821237674,0.000685478567724316
