t,Epo_Obs,dEpo_i_Obs
0,1740.441497586,14.7563188257898
25,1694.89848574549,NaN
30,NaN,-1.61549150858356
55,1754.41871715387,NaN
65,NaN,17.2944362778557
80,1114.63266437381,NaN
95,NaN,3.25026432496157
100,905.747213836281,NaN
150,372.060501287074,11.5258283866543
200,369.494718992003,28.7281159173204
250,535.000784001863,28.510827496575
300,NaN,45.8092234217606
350,235.812834422625,49.6543020022653
400,282.798233373557,NaN
450,10.5812875663579,62.3429786432963
500,NaN,58.3265923502481
550,-24.3198678656584,NaN
600,NaN,64.4600901263066
750,NaN,65.8729986137891
