timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0162989256685937,10.4549639270955,0,0
35,NaN,0.0118712181343977,NaN,NaN
70,NaN,0.0103953024067957,NaN,NaN
100,NaN,0.00946073792596528,NaN,NaN
150,NaN,0.00689179925514767,NaN,NaN
200,0.0261199708443769,0.00949869566172602,NaN,NaN
250,NaN,0.0107922490610095,NaN,NaN
300,NaN,NaN,9.30367274024841,NaN
350,NaN,0.0109855735490254,NaN,NaN
400,0.0403845449864218,0.011104030274251,NaN,0.0159086253704953
600,0.0804683746089818,NaN,9.20287885022996,NaN
800,0.19224287497177,NaN,NaN,NaN
850,NaN,NaN,NaN,0.0120216374886928
900,NaN,NaN,9.2547158018814,NaN
1000,0.291765924014943,NaN,8.7228106755605,NaN
1500,0.630841608169801,NaN,6.89791176375936,0.00889426230194413
2000,1.18189448900086,NaN,6.48288445738244,0.00836850875726086
2500,1.00288013890384,NaN,5.46424212107768,0.00565879154523947
3000,0.998802366725607,NaN,6.86309513624503,0.00779697928056454
3500,0.986234818754449,NaN,4.94488217390274,0.0048763580597035
4500,NaN,NaN,4.91931833307971,0.0061037664217005
5500,NaN,NaN,5.30336880308608,0.00395159570095928
6500,NaN,NaN,5.08715511459839,0.00326816447913431
7500,NaN,NaN,NaN,0.00260779200817378
