timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0114024222753244,12.6165880069718,0,0
40,NaN,0.0119290968918123,NaN,NaN
85,NaN,0.00698016932295189,NaN,NaN
150,0.019556116673997,0.00944354830381297,NaN,NaN
200,NaN,0.0129159909158073,NaN,NaN
250,NaN,0.00844701652745031,NaN,NaN
300,0.0244995844016804,NaN,NaN,NaN
350,NaN,0.0108327020075784,12.3293778972826,NaN
400,NaN,0.00934692608424973,NaN,0.015886981234038
500,0.0495934608348007,NaN,NaN,NaN
650,0.078971863491506,NaN,NaN,NaN
700,NaN,NaN,10.887732139838,NaN
800,NaN,NaN,NaN,0.0107930087278009
850,0.110892014218345,NaN,NaN,NaN
1000,0.215624869549028,NaN,8.7584806637027,0.011128737774789
1500,0.802010390710419,NaN,6.09485808426746,0.0100003062495209
2000,1.04917433200401,NaN,7.53513248464068,0.0075043997460638
2500,1.31024234434906,NaN,8.77921987527421,NaN
3000,1.23802825046036,NaN,6.87159710001778,0.00643315048204459
3500,NaN,NaN,6.98147928680127,0.00362030901782355
4000,NaN,NaN,NaN,0.00692588431235022
4500,NaN,NaN,5.39706277052065,NaN
5000,NaN,NaN,6.14059367167625,0.00510045133440626
6000,NaN,NaN,5.41304823501373,0.00382762093153509
7500,NaN,NaN,4.20167256081011,0.00220613420840956
