timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.015772968376001,9.60908570120014,0,0
150,0.0321763352698051,11.4727436419939,NaN,NaN
250,NaN,7.78313600165501,NaN,NaN
300,0.0525986970571589,NaN,0.375462081017091,NaN
400,NaN,8.80183298887464,NaN,0.00113225278873094
450,0.0961538024772438,NaN,NaN,NaN
550,NaN,9.23529081084268,NaN,NaN
600,0.155969489592875,NaN,NaN,NaN
650,NaN,NaN,1.43588473387944,NaN
750,0.28174490338337,7.44925621183707,NaN,NaN
800,NaN,NaN,NaN,0.0384753044308097
900,NaN,5.28773577937814,NaN,NaN
950,0.582756994891136,NaN,NaN,NaN
1000,0.525033843495553,5.46986031995413,4.91117856568666,NaN
1500,1.17847558049992,0.550916241893966,8.42419248534273,0.738528621195251
2000,1.18048483755668,0.0533709498517906,7.97313734400211,0.98196180862211
2500,1.31198145358173,0.0102570640249925,5.8011982668349,NaN
3000,1.00884844859991,0.00991215474848172,6.59463700522745,1.0030849206666
3500,NaN,NaN,NaN,0.649916371849172
4000,NaN,NaN,5.20610010661605,NaN
4500,NaN,NaN,5.78947900666399,0.494743286951166
5500,NaN,NaN,4.72297308422425,0.448867967150022
6500,NaN,NaN,2.75614589425768,0.44372860629198
7500,NaN,NaN,3.19690668729425,0.272253486277031
