timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0127870095396801,10.6952830371768,0,0
90,0.0262763055019569,NaN,NaN,NaN
200,0.042104931037302,NaN,NaN,NaN
250,NaN,9.65917117761902,NaN,NaN
300,0.0768762182117331,NaN,NaN,NaN
400,0.131417626145345,NaN,1.01511646596802,0.0022128627567473
500,0.153831741607948,NaN,NaN,NaN
550,NaN,9.21107519305621,NaN,NaN
650,0.275808642873888,NaN,NaN,NaN
750,NaN,NaN,3.51387745066622,NaN
800,NaN,NaN,NaN,0.0745946539019553
850,0.294310848893361,5.42592459593577,NaN,NaN
1000,NaN,4.33844966488262,5.0421097167893,0.171851264806744
1500,NaN,2.30568697407037,6.04688769322751,0.529738233753677
2000,NaN,0.784566996587077,7.40175393583153,0.601002500393186
2500,NaN,0.399963057683378,6.95072926981312,0.743564840359614
3500,NaN,0.0918395861061692,7.79467863147625,1.23995074862157
4000,NaN,0.042450394234748,6.51557246626223,0.565043847242439
5000,NaN,0.0206112952778081,3.8997808288655,0.445266646700971
6000,NaN,NaN,3.90972787897756,0.41303834820346
7000,NaN,NaN,3.86896570716012,0.358656647619262
8500,NaN,NaN,3.91124159907177,0.169073233606483
