timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.015947284714098,9.33605487697249,0,0
35,NaN,0.0104681948846742,NaN,NaN
75,NaN,0.00871927425495858,NaN,NaN
100,NaN,0.0086312713092795,NaN,NaN
150,NaN,0.0110685135843435,NaN,NaN
200,NaN,0.0121175980994606,NaN,NaN
250,NaN,0.00808092704378699,NaN,NaN
300,NaN,NaN,12.2946650185434,NaN
350,0.0271481972154835,0.0108677218343147,NaN,0.0141563787905633
400,NaN,0.0104328493411433,NaN,NaN
600,NaN,NaN,10.6741487864632,NaN
700,NaN,NaN,NaN,0.00861345820230359
750,0.0615545473401106,NaN,NaN,NaN
950,NaN,NaN,7.61820648272148,NaN
1000,0.104328948629477,NaN,NaN,0.00824487367564609
1500,0.220894571704706,NaN,9.16047975163849,0.00946402923035186
2000,0.365214714584562,NaN,8.78780526964857,0.00788925344816332
2500,0.424761207263946,NaN,8.50422552532229,0.00731868265627408
3000,0.475759976848222,NaN,6.01391422293902,0.00737738023754657
3500,NaN,NaN,NaN,0.00553248720182802
4000,0.520086484124904,NaN,5.31170895161132,NaN
4500,NaN,NaN,4.90144299821065,0.00372361076153794
5000,0.474864154703021,NaN,NaN,0.00453484270301132
5500,NaN,NaN,5.5399831328702,NaN
6000,0.686281728978514,NaN,NaN,NaN
6500,NaN,NaN,5.29987857245486,0.00297121059349004
