timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0153627072285402,12.9110960417021,0,0
400,0.023482147952844,8.8715229495762,0.060099148406854,0.00226128753162545
750,0.0312732629078969,NaN,NaN,NaN
800,NaN,NaN,0.167996837469603,0.0144685249302988
850,NaN,13.591436927442,NaN,NaN
1000,0.0464299577389018,NaN,0.193220321436753,0.0342771389130272
1500,0.100697010195213,10.7506970180666,0.380151056830563,0.114647916198453
2000,0.196995218063327,6.9053871792874,0.538312764305176,0.244041863934748
2500,0.239439557533477,6.57701860843277,0.899818381481676,0.503632164638362
3000,NaN,7.16812687994095,NaN,NaN
3500,0.366699405727647,5.11672740301686,1.13222699664088,0.793185693221457
4000,0.358368146861727,NaN,0.827615330347806,0.619182106939912
4500,NaN,2.61745372736138,NaN,NaN
5000,0.537915913056424,NaN,0.54316144543023,0.567417324402156
5500,NaN,1.52344568110639,NaN,0.281322187636377
6000,0.641833015889292,NaN,0.525396337512574,NaN
6500,NaN,0.978932046461858,NaN,NaN
7000,0.625545233362447,NaN,0.329239564666496,0.171953929097411
8000,NaN,0.396631378049566,NaN,0.0618287714938392
8500,0.518835720250071,NaN,0.196950621660314,NaN
