t,epo_level,SOCS3nRNA1_Obs
140,2.5e-09,0.00104854855487418
140,2.5e-09,0.00104748299619554
140,2.5e-09,0.000962813645678034
140,2.5e-08,0.00233581089503934
140,2.5e-08,0.00224991223669142
140,2.5e-08,0.00231781530879802
140,1.25e-07,0.00121215533922676
140,1.25e-07,0.00118464705164803
140,1.25e-07,0.00122926696184396
140,2.5e-07,0.000698319079308771
140,2.5e-07,0.000686879040374252
140,2.5e-07,0.000699091310485276
140,2.5e-06,0.000256565058431125
140,2.5e-06,0.000283031904172407
140,2.5e-06,0.000443147427844776
