t,p2EpoRpJAK2_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_6_Obs,Compound_7_Obs,Compound_9_Obs,Compound_10_Obs
0,-0.00115914983450065,-0.0699250003290932,-5.02222833608088,1.26545421878355,-0.0657709388964765,7.52729780771537e-06,-2.71533093961254e-06,-0.0659644108260897,22.4108051448914,0.946221187176523,183.158888288833,105.755158062007,-5.2190267608154
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240.338242820294,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.7661496835866,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6113121271087,NaN,18.3761274584472,NaN,NaN,63.1159725124782
9.5,0.221419894960396,NaN,2.65837618088516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.633175838287056,NaN,3.3266304362863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141.145956235675,NaN
15,NaN,NaN,NaN,NaN,-0.0994728624081682,0.000160378511272198,NaN,NaN,46.2522897591502,NaN,312.041055738453,NaN,NaN
20,0.103781497623811,1.76535778135091,80.8385021895932,10.5757229971539,NaN,NaN,0.000206494550850068,56.3482663018892,NaN,119.165683789024,NaN,NaN,195.916520869196
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.3803599373259,NaN,471.307548240253,301.546910607807,NaN
30,0.0682198622805555,2.5411725974955,152.636503368431,NaN,0.136284363622041,0.000340040912173937,NaN,129.688177670414,NaN,303.047632832808,NaN,NaN,346.352638544684
35,NaN,NaN,NaN,99.4279972443584,NaN,NaN,0.00035231283104294,NaN,147.522854773103,NaN,702.262560742495,456.37576649255,NaN
40,0.0580847613415097,NaN,194.635556629489,NaN,NaN,NaN,NaN,189.463979114264,NaN,360.812352218382,NaN,NaN,447.430541717934
45,NaN,2.73422022903943,NaN,172.520138356019,0.389081039404403,0.00043709950136068,NaN,NaN,NaN,NaN,813.959717143989,NaN,NaN
50,NaN,NaN,216.245887198201,NaN,NaN,NaN,NaN,222.845479895945,233.639711060816,419.935500947443,NaN,541.919239053309,477.080893761071
55,0.0447237689341366,NaN,NaN,NaN,NaN,NaN,0.000427161882403876,NaN,NaN,NaN,893.014078377923,NaN,NaN
60,NaN,2.61488788833067,NaN,221.364624102055,NaN,0.000405507549968071,NaN,NaN,246.229475105746,NaN,NaN,NaN,437.352951392856
65,NaN,NaN,202.019853170129,NaN,0.62009021990228,NaN,NaN,227.705908261065,NaN,409.824141204394,NaN,546.298689956109,NaN
70,0.0414621908117914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,883.754860057291,NaN,NaN
75,NaN,2.4428418834636,NaN,217.140382812671,NaN,NaN,0.000359322795513585,NaN,233.893956729467,NaN,NaN,NaN,406.190065995302
80,NaN,NaN,NaN,NaN,NaN,0.000334284566561028,NaN,206.347075093204,NaN,411.877088199635,NaN,530.817507536406,NaN
85,0.0314499174442227,NaN,190.987459706139,NaN,1.15685530966781,NaN,NaN,NaN,NaN,NaN,790.482839297285,NaN,NaN
90,NaN,2.2370320068534,NaN,NaN,NaN,NaN,NaN,NaN,220.677086689123,NaN,NaN,NaN,370.406107007272
95,NaN,NaN,NaN,187.627606900843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0316011857142292,1.92477489830297,177.24492062992,182.345432313938,1.45041536277341,0.000314055263644695,0.000291144206146947,188.424996389456,202.238211642807,336.679910803158,740.26641623779,503.027071080693,343.111158056504
150,0.0309716521562215,1.59136690212386,128.666077006907,140.991003257808,1.90095862716495,0.000237182020834699,0.000250388224983576,139.316071364941,169.993070519828,260.185158804805,621.588912902405,432.23316780801,295.120715056559
200,NaN,1.50263752503785,111.812516845881,121.557582333429,2.02514874141952,0.000207585097095969,0.000223663555775404,128.277295268097,146.052741016357,237.197434973247,584.045045921155,393.226780380447,279.574871000432
250,NaN,NaN,NaN,NaN,2.21247199996876,0.000203448849618852,0.000198762539284384,NaN,NaN,NaN,NaN,371.886580670622,NaN
300,NaN,NaN,NaN,NaN,2.280333590895,NaN,0.000213246557281502,NaN,NaN,NaN,NaN,348.166382248159,NaN
