t,epo_level,p2EpoRpJAK2_Obs,CISnRNA2_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs
11,2.5e-09,0.00416147402820248,46.9474951676952,-31.5718906510398,9.46562334393664,-95.7401835545481
11,2.5e-09,0.0215668770524069,-3.15820211761707,-37.1552471927432,17.5356479836727,123.750402476929
11,2.5e-09,0.0233051589036936,10.5261848539801,-95.6788808766138,7.15279476273126,-55.466147956349
11,2.5e-08,0.0655594709688111,87.7847824197941,236.979257298154,359.876321965207,429.242533578458
11,2.5e-08,0.0912996108136738,136.412942822875,344.817851476406,274.2164494537,492.812193218775
11,2.5e-08,0.106582794661157,147.687545961518,293.962826962112,431.0006874298,406.385527171805
11,2.5e-07,0.305899987297605,790.685603721968,1844.64134626902,1514.78983093834,2186.96144382584
11,2.5e-07,0.310766673249723,775.504944797127,1946.68022078003,1560.37879114286,2171.7050783846
11,2.5e-07,0.341693473636009,806.242001405141,1711.71018695727,1677.77987395102,2195.391298819
11,2.5e-06,0.79617406481683,1051.27581208235,2237.46313867601,1898.37446383738,2804.94859509348
11,2.5e-06,0.802474818690048,1038.20858772305,2190.63660687554,1940.61960443736,2708.20824330067
11,2.5e-06,0.825163969074229,980.650522374354,2217.06542234353,1831.79217603921,2806.42153706807
11,2.5e-05,1.11569993057182,1125.61005732752,2505.23230356633,1928.02481184762,2990.34052366839
11,2.5e-05,1.11892207138709,1056.50705712606,2342.2023658276,1936.9644906055,2931.12189418621
11,2.5e-05,1.12224029577405,1076.73904189935,2357.1943972558,1975.54465192719,2843.131288848
