t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,npSTAT5_Obs,Compound_1_Obs,Compound_5_Obs,Compound_6_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,-0.000642820565170596,-7.99580184669386e-05,-0.00261930874151886,1.08318481927582,0.747572325973285,15.0916826738465,-2.61403017668649,100.234600100374,-1.31298560526184,15.4567840451794,114.174145503057
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.3970528984127,NaN
10,NaN,0.253430025734147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0.0391370531615288,NaN,NaN,35.1928314194246,111.108589573101,88.6276668731534,31.551313601916,3.7184354072744,74.4419071060369,NaN,56.7477829321396
20,NaN,0.201890262203144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4210199711613,NaN
25,NaN,NaN,0.0865955006787447,NaN,NaN,78.0335424764321,42.130318799744,7.6776899864704,NaN,16.961976299356,65.1407446872255
30,0.0314240967738665,0.170152605519324,NaN,NaN,99.4158902143197,NaN,NaN,NaN,55.4284284577275,NaN,NaN
35,NaN,NaN,NaN,39.215751442106,NaN,NaN,NaN,NaN,NaN,17.2164789854047,NaN
40,0.0301190348282878,NaN,NaN,NaN,NaN,67.0570208522754,39.2678696185677,20.4922704147305,NaN,NaN,76.1780180427951
45,NaN,0.128800693735571,0.111096105895155,NaN,91.5939620077544,NaN,NaN,NaN,52.7106848445547,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.7982818247791,NaN
55,NaN,0.124897100445904,NaN,37.6280623083017,NaN,60.3827151530459,37.3073885440725,28.0861880316296,NaN,NaN,81.7020388062837
60,0.0278178298121784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.3679978698288,NaN
65,NaN,NaN,NaN,NaN,75.9886420147136,NaN,NaN,NaN,42.1289673567504,NaN,NaN
70,NaN,0.110084357218841,0.130786831401999,NaN,NaN,55.764829072174,31.6163176478444,NaN,NaN,NaN,88.1865854929338
75,0.0234165770586561,NaN,NaN,32.3919917441189,NaN,NaN,NaN,39.2693711933041,NaN,15.5159586517452,NaN
85,NaN,NaN,NaN,NaN,69.6517621931265,NaN,NaN,NaN,40.3282197704638,NaN,83.6562186085245
90,NaN,0.109250090938422,NaN,NaN,NaN,49.6624292557254,27.2381879543349,40.8590536679373,NaN,16.727804273445,NaN
95,0.0248380875398735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0208534319817637,0.0934771495338384,0.151880530573895,26.397418973489,67.5650650953156,48.2684604391182,28.961220030006,43.0066521985123,37.3079401606046,16.5326712764109,93.6731198338045
150,0.0216687907721639,0.0952323742709859,0.167799302137502,23.2406316986945,53.9369956660301,48.2609243329315,22.558155771304,54.0519517737662,31.043346777832,17.4096732556197,94.0303352572902
200,0.0200442765964856,0.0908344176932853,0.159686509368562,23.4982366832629,52.5667707050164,47.0796541232112,17.3101368982236,56.9033578646882,27.9370376449573,NaN,97.3502180399937
250,NaN,NaN,0.174343248827158,21.2961541410722,52.924965403648,43.8439171066968,20.1459779000216,59.7785360955993,27.5560854977951,NaN,96.1616663100136
300,NaN,NaN,0.179935869898318,20.7170508923116,47.269226105859,42.59715657725,18.758452000659,58.6539244945839,25.1690447662408,NaN,NaN
350,NaN,NaN,0.178656027271801,20.1217128470398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,0.180580998299422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
