t,epo_level,p2EpoRpJAK2_Obs,CISnRNA2_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs
30,2.5e-09,0.278606192131496,2775.06472493246,5338.05403580509,4847.7822221921,5943.19325626969
30,2.5e-09,0.283372688162993,2896.30148400328,5578.34173475975,4851.00936682328,6008.62084004088
30,2.5e-09,0.277488698413383,2811.16465164442,5625.41228430035,4922.86282020908,5823.2736944346
30,2.5e-08,0.133674440163908,2371.14411157319,4460.46537915312,4075.37072097144,5087.67679552355
30,2.5e-08,0.12736476512761,2352.88763296866,4581.41781878015,4231.06302362089,4753.89229650574
30,2.5e-08,0.13023632700419,2349.91139448984,4493.87865454778,4016.87848624135,4950.50760728598
30,1.25e-07,0.344384015015551,2933.48873801061,5616.39655754811,4772.64973241991,5808.99143640211
30,1.25e-07,0.34537441502593,2947.34916238466,5661.43321513568,4817.90156032266,6068.93227491924
30,1.25e-07,0.336607373455786,2819.10969150251,5439.71829511093,5110.8719837319,5750.77447910549
30,2.5e-07,0.17235243416841,2678.99692736288,4878.70507677832,4805.93698211091,5547.00858313689
30,2.5e-07,0.166473222273242,2694.04925905449,5126.18267810992,4753.68976031825,5493.07443966347
30,2.5e-07,0.161843537102306,2653.0009778458,5394.11975507947,4504.7051564604,5581.33541233793
30,1.25e-06,0.0619113766693693,938.491448379651,2058.60902423738,1617.34620104396,2029.62399005179
30,1.25e-06,0.0577907056898519,853.518293267449,1996.68463093438,1817.87651741083,1582.18064145872
30,1.25e-06,0.0575398294638509,950.244769798596,1668.10100965893,1287.39742800596,1764.75598031856
30,2.5e-06,0.00383756773408577,122.340912993996,164.856728620518,218.803412245486,231.559771487202
30,2.5e-06,0.0165349101828021,38.2513822717075,177.124913342765,428.397889193128,19.0264095015323
30,2.5e-06,0.0228465691248209,20.105880912396,582.194113445635,339.356722106704,437.552424077773
