t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,CISnRNA4_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,0.000348017154052726,0.00615202339812197,0.0118981537992413,96.2417766180886,-1.02179648604443,35.0482692767588,5.25572633945406,0.278236391423824,-4.71279167227484e-05,-0.000104624274726846,-0.000722149073435661,-12.8015655053896,-11.4174729577413,-56.0795279007625,80.244892659031,91.089221506446,14.1594648555855,-238.50823765514,-7.68000082744106,-20.8116070302089,56.6302708863408,26.0567628128391,223.289679706271
15,NaN,NaN,NaN,NaN,NaN,1149.3743134025,NaN,NaN,NaN,NaN,NaN,NaN,744.280474203432,NaN,1393.10103176657,2152.10661351974,NaN,NaN,2269.3345921365,NaN,1912.37976394295,NaN,2474.91079777601
20,NaN,NaN,NaN,26.4296876827701,30.560118319377,NaN,NaN,NaN,NaN,NaN,NaN,887.014216491592,NaN,927.134908270985,NaN,NaN,NaN,3568.65428992212,NaN,NaN,NaN,NaN,NaN
25,0.0292450203221923,0.152747763384602,NaN,NaN,NaN,NaN,NaN,-0.533155687954963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.2320224475443,NaN,NaN,2406.27774007254,3480.91489693764,4581.93220609413,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,1529.84062740455,NaN,NaN,NaN,0.0409202067689985,NaN,NaN,NaN,NaN,6567.34710710339,NaN,NaN,6398.57506862009,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,2471.29100313865,NaN,NaN,NaN,NaN,NaN,NaN,2398.95056306312,2271.06378759654,4424.65038604653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8960.99097606267
40,NaN,NaN,NaN,54.3358806141474,26.8456821073475,NaN,NaN,NaN,0.00395628411075151,NaN,NaN,2287.4230760311,NaN,NaN,NaN,NaN,NaN,4648.80768828714,NaN,NaN,4568.22266690237,NaN,NaN
45,NaN,0.094504317986991,NaN,NaN,NaN,NaN,NaN,5.22935168279063,NaN,0.00388984447332072,NaN,NaN,NaN,NaN,NaN,7169.95141044476,NaN,NaN,7084.4277598758,NaN,NaN,NaN,NaN
50,NaN,NaN,0.0834347443328029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4617.84446723494,NaN,NaN,NaN,NaN,NaN,NaN,4056.63653158828,8574.1028319332
55,0.0193986286621113,NaN,NaN,NaN,NaN,1872.7021042377,2185.11597207957,NaN,NaN,NaN,NaN,NaN,2072.83881640262,2181.93244704725,NaN,NaN,58.4862284331439,NaN,NaN,4498.755165972,NaN,NaN,NaN
60,NaN,NaN,NaN,69.6110835352029,19.2723555383733,NaN,NaN,NaN,NaN,NaN,0.0867646022509214,1890.11355522302,NaN,NaN,NaN,NaN,NaN,3563.12673905744,5724.145753778,NaN,3764.12169864376,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5157.85724304992,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9064575135683,NaN,NaN,NaN,NaN,NaN,NaN,3310.50884680823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6661.4626546805
75,NaN,0.0667121409467667,NaN,NaN,NaN,1312.22238252249,NaN,NaN,NaN,NaN,NaN,NaN,1405.39701129214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2804.38398280365,2567.52159980769,NaN
80,NaN,NaN,NaN,77.1512670787728,NaN,NaN,NaN,NaN,0.00187376736350581,NaN,NaN,NaN,NaN,1415.59083138996,NaN,NaN,NaN,2500.63015905155,3869.88422936543,3033.55312635691,NaN,NaN,NaN
85,0.0159063635946007,NaN,NaN,NaN,11.4221231393857,NaN,1309.24041328549,NaN,NaN,NaN,NaN,1234.53480107954,NaN,NaN,NaN,3606.56971906193,51.4895652525471,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00161956588832357,0.0956617452911135,NaN,NaN,NaN,1940.17985407408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4204.44897174152
95,NaN,NaN,NaN,NaN,NaN,837.241508582812,NaN,NaN,NaN,NaN,NaN,NaN,944.232588345568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023.51811801876,NaN,NaN
100,0.0163714060557976,0.0706859474038536,0.118675787404102,87.2031545005254,8.78914181612099,805.869407405964,1049.74866565466,13.448432320084,0.00125448513964035,NaN,NaN,997.851308149318,956.394232863458,943.248379856063,1764.1995834628,2517.52710236922,55.08149715919,1630.64587187233,2797.4606438611,2128.07451980695,1968.21643873546,1483.40403356069,3656.5768004224
150,0.0161930568222566,0.0698947443369128,0.132317612963995,82.3387053373479,7.16168721284225,539.492760684147,601.00901725583,13.9405628405014,0.00092573628162412,0.00113593882826202,0.0755408665537653,527.716362152102,517.980847390342,598.541904108484,1121.97142394797,1807.38775235445,42.9816013780508,1323.38507806607,1656.99099711289,1294.58264609451,1112.29656063562,1200.31166565064,2308.25694868535
200,0.0155097646025275,0.0667809641893495,0.134361740214858,80.6539517695883,6.59110092879333,536.65808059613,546.592641485743,13.8909881140818,NaN,0.000904469904133732,0.0577916526498332,628.076594202728,512.539801982556,571.799428398126,1205.4111043601,1450.99568337624,43.2357125818214,1054.29377108577,1564.62228369643,1200.13065063636,1009.23801103252,1242.32961655342,2340.89743730136
250,0.0161022942169125,0.0681004077371002,NaN,89.0682105533795,7.44823783305776,519.166115532364,492.607630351132,12.3263683037185,0.000947917488513832,0.00105030376226775,0.0574488975930244,572.155460726296,619.102158259868,665.311674825095,1238.8806940227,1752.02667054829,41.4043670415513,1182.78805988233,1783.46563311122,1187.65072721212,1252.36742935772,1063.01547793363,2361.21840647832
300,0.0160992241359802,NaN,0.141566143608817,90.6101463287236,8.06255774179795,579.573371529192,540.672646622785,12.317371874579,0.0012629359975317,NaN,0.0506992893078061,580.363240337497,555.466190871833,NaN,1205.52081321362,1801.06624828519,41.1976875093778,1076.79956005805,1818.16456334625,1320.59772298064,NaN,NaN,NaN
350,0.0155754035165909,0.0670993081287265,0.149055869064016,89.0039705422054,7.23505563095727,NaN,604.963993056776,12.519617032056,NaN,0.00101807406535824,NaN,NaN,608.537032097778,NaN,NaN,NaN,43.1962742153407,1200.60251310705,NaN,1221.88012965864,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,616.603597501707,NaN,0.00112414218280672,NaN,0.0509206530895508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1330.01271765839,NaN,NaN,NaN
450,NaN,NaN,0.136124466068934,NaN,NaN,NaN,587.5668462935,12.9862649897044,NaN,NaN,0.0482286532453337,NaN,NaN,NaN,NaN,NaN,39.7920633383919,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011238959369072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1433.02348134415,NaN,NaN,NaN
550,NaN,NaN,0.137417866252641,NaN,NaN,NaN,625.367724554767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.4187869285535,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1188.34672167646,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,608.901691864757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,0.137121880246921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,0.150858808784892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
