t,p2EpoRpJAK2_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_6_Obs,Compound_7_Obs,Compound_9_Obs,Compound_10_Obs
0,0.00117535314705116,-0.0750097256928136,5.38460704594406,9.69892470807851,-0.00782524450048491,-1.30463529522687e-05,2.17790445740972e-05,1.75027942969757,29.757755521933,1.78737082338199,258.514278452576,142.088835446191,27.6444632991146
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,271.999257491791,NaN,NaN
8,NaN,NaN,NaN,8.55720659429018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.34343767765276,NaN,18.7224899302614,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.4798611797179,NaN,NaN,NaN,57.2845463668331
9.5,NaN,NaN,16.0924365586001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.221284149399057,0.446210633533969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131.813113368787,NaN
15,NaN,NaN,NaN,3.2276341687628,0.0256609634784696,0.000142954753765027,0.000119291454824044,NaN,NaN,81.528121427546,289.682428415061,NaN,NaN
20,0.107349346711476,1.82910890077296,80.7180183534426,NaN,NaN,NaN,NaN,50.6772913512894,42.2106572973799,NaN,395.878406158306,263.380279751978,214.787511656378
25,NaN,NaN,NaN,39.2661574597916,NaN,NaN,NaN,93.7369171006388,NaN,244.969570534667,482.570613434679,NaN,NaN
30,NaN,2.49605941809164,146.853841677778,NaN,0.0549839155596505,0.000337675702026439,0.00033987094061099,NaN,132.622670396163,NaN,NaN,NaN,345.720710884785
35,0.0652709382458808,NaN,NaN,97.0107917512658,NaN,NaN,NaN,NaN,NaN,339.702012067875,705.509636947787,428.223983317439,NaN
40,NaN,NaN,197.026795740417,NaN,NaN,NaN,NaN,187.978761335566,188.972940941937,NaN,NaN,NaN,427.957084449846
45,0.055490294796367,2.80037221280794,NaN,158.026231647484,0.288903954635091,0.000391989085805421,0.000378253769674312,NaN,NaN,NaN,812.246674848121,510.196247354219,NaN
50,NaN,NaN,218.056007408142,NaN,NaN,NaN,NaN,221.729624065113,235.238274622686,440.801736781504,868.372134424212,NaN,436.750286655987
55,NaN,NaN,NaN,199.623976631761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,0.0480493939079931,2.71863027552542,NaN,NaN,0.589977636417975,NaN,NaN,216.395105744504,NaN,432.25321773247,NaN,542.608872097683,NaN
65,NaN,NaN,218.713206547657,214.346308502114,NaN,0.000378086793639797,0.000372029417243836,NaN,237.839129692129,NaN,876.996767686734,NaN,419.068595983526
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.076412483869,NaN
75,0.0405813962473414,2.28390255586118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,405.461815495381,861.264855714981,NaN,NaN
80,NaN,NaN,190.692113504363,201.695739153409,1.03260669335943,NaN,NaN,216.274122756112,226.877847296367,NaN,NaN,NaN,392.344571035362
85,NaN,NaN,NaN,NaN,NaN,0.000341428569532455,0.000328615241805563,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,2.10213195489029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,357.665228858185,763.120650193747,488.506939024231,NaN
95,0.040410407132767,NaN,NaN,193.461292681455,NaN,NaN,NaN,188.100679357168,214.136103133101,NaN,NaN,NaN,371.641683527331
100,0.039798912820471,2.08073684262235,179.926568728737,173.359409491674,1.50483974454787,0.000288921890503885,0.000298328521928776,178.45753865938,196.908921865518,344.494415380421,801.732805751582,507.477774356166,341.242650163557
150,0.0278033820135644,1.79239673692818,132.208339582867,135.107753643799,2.01852069248073,0.00026446529868459,0.000243569189879591,151.059363547051,161.117399246987,248.996798076427,617.774374863361,376.727963009521,300.64720545533
200,NaN,1.27222641475379,121.72144261421,124.095648909398,2.12348386252192,0.000193242810994211,0.000233836087055228,121.556337656649,141.709369968826,249.789871738945,NaN,342.346293023367,246.945613914073
250,NaN,NaN,NaN,NaN,2.23177941312855,0.000201889594328206,0.000195877278161918,NaN,NaN,NaN,NaN,374.41817242651,NaN
300,NaN,NaN,NaN,NaN,2.23070473014499,NaN,NaN,NaN,NaN,NaN,NaN,371.193045066488,NaN
