t,p2EpoRpJAK2_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,Compound_1_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,-0.00304196744872638,0.00181743969444716,-0.510802230247669,-54.7982703311601,27.7850920780568,0.176534466375556,-3.96532429998369e-05,-62.4954339614943,-63.3484214797758,11.8531870793558,-31.5637200657713,319.4898344123
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34.708376552287,2.70605257051297,NaN,NaN,298.248627525344
4.5,NaN,NaN,NaN,NaN,-53.0146218439473,NaN,NaN,NaN,NaN,NaN,252.665754200169,NaN
5,0.260521543386377,NaN,NaN,110.010960080232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,10.6956493657725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.576712848863,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,530.896751208621,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,-20.0529912225924,NaN,NaN,NaN,NaN,667.102614924792,NaN,906.27058048285
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,964.010658595166,NaN
9.5,NaN,NaN,NaN,NaN,NaN,-0.219538617561316,NaN,NaN,NaN,NaN,NaN,NaN
10,0.136808925200492,0.116371719750703,NaN,431.377266750532,NaN,NaN,NaN,211.07848827527,961.772855514917,NaN,NaN,NaN
15,0.101540049952803,NaN,22.3454630029635,951.140716079362,179.94077456484,NaN,0.00306608890026797,672.225537793149,2046.36011605288,1558.42240823468,2457.13811418654,2518.27293485583
20,0.0835594829784195,0.174235661351335,25.0859858034612,1451.59250365597,388.895221444543,0.227488331822743,NaN,1141.29867605651,2756.53790318519,NaN,3231.4898608503,4215.04853079036
25,NaN,NaN,24.8919504563307,NaN,841.216654856448,NaN,0.00386028401744133,1552.043312195,3296.60880781524,2836.90032363463,3845.82464056626,5412.6467281365
30,0.0516855297080108,0.187029680665683,NaN,1949.04971964464,1185.82381127737,1.0938729058927,NaN,1834.52643440628,NaN,NaN,3937.6214305877,6257.2409173605
35,0.0509431104500534,NaN,23.4390567079716,1922.15432211433,1433.17490412187,NaN,NaN,NaN,3782.76191774622,3422.83873386757,NaN,7050.80130448499
40,NaN,NaN,NaN,1832.86825619855,1676.59548130359,3.15904197703704,0.0031097681819038,2009.37288713727,3582.45847850347,NaN,3700.41252803144,7044.25283374764
45,0.0363838697983403,0.228149441385405,19.9732150599543,NaN,NaN,NaN,NaN,1826.28225596663,NaN,3375.50873087935,NaN,NaN
50,NaN,NaN,NaN,1620.80602110787,1810.15562576679,4.61584016482597,NaN,NaN,3023.80661825596,NaN,3106.71814258904,6960.69112959345
55,0.0335075111317508,0.234810082896084,15.0538074535763,NaN,NaN,NaN,NaN,1601.37483541893,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,1317.32785921,1667.23350886898,NaN,0.00209341310782859,NaN,2657.58616897398,3042.05625087251,2770.96289595522,6108.11717161563
65,0.0269526727952767,NaN,NaN,NaN,NaN,7.91571220948498,NaN,1325.78072721664,NaN,NaN,NaN,NaN
70,NaN,0.236701783698296,10.7023744944983,NaN,1450.33165999777,NaN,NaN,NaN,NaN,2543.89043648865,2059.57444133429,NaN
75,NaN,NaN,NaN,1038.31071259517,NaN,NaN,0.00149383494041356,1069.07283194291,2007.47332132883,NaN,NaN,4545.74495718678
80,0.0240903711227576,NaN,NaN,NaN,1077.82850035257,9.55165518072636,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,0.230629262522004,8.47911208247799,764.520393861709,NaN,NaN,NaN,NaN,NaN,1629.936878514,1661.12060792871,3526.36952539772
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,860.155386749476,1326.58185043943,NaN,NaN,NaN
95,0.0258692838034857,NaN,NaN,NaN,818.139818691272,NaN,0.000973493172403943,NaN,NaN,NaN,NaN,NaN
100,NaN,0.242278215159507,5.95947914145532,569.086279555869,715.780574763341,10.8302581598194,0.000966368115566302,NaN,NaN,1309.41267277683,1241.78044681961,2880.87431436709
150,NaN,0.276702418014482,NaN,NaN,NaN,10.5328737833243,0.000599685031034914,NaN,NaN,767.603713777015,NaN,NaN
200,NaN,0.293748732371267,NaN,NaN,NaN,9.61394198408696,0.000772919580319041,NaN,NaN,740.326400572872,NaN,NaN
