t,p2EpoRpJAK2_Obs,CISnRNA2_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs
0,-0.0319170489136198,89.9943766365508,-312.648627448882,-19.9105076339492,-20.0117965604195
4.5,0.828998737096197,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,611.324222267295
6,NaN,297.96121738428,NaN,NaN,NaN
8,NaN,NaN,NaN,1343.19884617408,NaN
8.5,NaN,NaN,1288.44821081664,NaN,NaN
9,0.69987272669675,NaN,NaN,NaN,NaN
10,NaN,831.943577289485,NaN,NaN,2086.20765172434
15,0.575785260108429,NaN,3496.80366520703,2732.62171254445,3787.80427020318
20,0.444729157164797,2288.82333607648,NaN,NaN,5287.91660309532
25,0.336721817962309,2860.60131614495,5420.75566064424,4524.55817368038,NaN
30,0.298887592495206,NaN,NaN,NaN,5551.53334103021
35,NaN,2741.35424110951,5649.59701940772,5181.21311901891,5897.13130875406
40,0.208563232578707,2767.35427451624,NaN,NaN,NaN
45,0.187410992532354,NaN,5294.04802214655,5342.04591118043,5252.94405797513
55,0.145823669674252,2258.74962720797,4747.42281418217,4745.60626101026,4961.56314571443
65,NaN,2096.62430154128,NaN,4201.18142635817,4090.95100057248
70,0.134841729508413,NaN,3850.17477247697,NaN,NaN
75,NaN,NaN,NaN,NaN,3600.10792247744
80,NaN,1588.79963152079,NaN,3497.08409229474,NaN
85,0.15443177324202,NaN,3187.26170374398,NaN,NaN
90,NaN,NaN,NaN,NaN,2872.76422866951
95,NaN,1327.13336649701,NaN,2635.04548388729,NaN
100,NaN,1267.96572150322,2952.86081907349,2854.71665187863,2736.19429368426
150,NaN,NaN,2111.29607626332,2047.38295888363,1681.63268239125
200,NaN,NaN,2162.69190931624,2017.91018669387,NaN
