t,p2EpoRpJAK2_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,Compound_1_Obs,Compound_6_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,-0.00388002243383248,0.00631270774392266,-1.47587785823664,-53.196385713383,19.3713760762279,0.140249025299561,1.56874640973836e-05,35.9932091408734,-15.4970003060695,-6.65874367655211,38.735526650027,442.250922570129
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,493.738768411035
4.5,NaN,NaN,NaN,NaN,5.83910920427532,NaN,NaN,NaN,216.230589919886,325.05302752813,NaN,NaN
5,NaN,NaN,NaN,1.82641683102918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,9.13652183571062,NaN,NaN,NaN,NaN,11.1156697961992,NaN,NaN,571.181286022526,NaN
6,0.377649287409717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,814.276653160087
9,NaN,NaN,NaN,NaN,27.6082525699067,NaN,NaN,NaN,1083.24458116315,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,-0.0392705809140638,NaN,NaN,NaN,921.633141993468,NaN,NaN
10,0.252062762708667,0.0430405758638247,19.4899984443971,448.330951572243,NaN,NaN,NaN,230.69768352348,NaN,NaN,1397.75766436019,NaN
15,NaN,NaN,NaN,1131.25591074173,209.328457639328,NaN,0.00382781619485949,741.781460789964,2367.38115766731,2071.58224012379,2606.17745152682,3296.20158600891
20,0.175582784003034,0.0784037995351555,30.1727376205097,1686.64224163941,531.059807274212,-0.296397961548788,NaN,NaN,3266.65070645291,2375.55633537972,NaN,4797.77348682249
25,0.155880296297459,NaN,33.0233197581956,NaN,970.104193689583,NaN,NaN,1969.41915891305,4098.75254782529,3429.23557928397,4597.6282414362,6699.80194787507
30,NaN,0.0852874399719106,31.3098378282276,2398.93116159575,1589.38501337503,1.21712438129388,0.00460424205657641,2348.09060890231,4706.15318215429,NaN,4909.00911071231,8289.25264824253
35,0.124480794243516,NaN,NaN,2447.11147430694,1967.60705135634,NaN,NaN,NaN,4680.69554279168,4336.88862374857,NaN,9009.17511408524
40,0.0974898535686506,NaN,26.2020450180035,NaN,NaN,3.73968072433265,NaN,2364.04052696662,NaN,4323.07707580644,4588.62486667328,NaN
45,NaN,0.105196176775735,NaN,2113.93610889254,2270.05996626394,NaN,0.00376993668829651,2387.97817369124,4633.8940652627,NaN,4429.76530145992,9086.40614922111
50,0.0907638174016207,NaN,23.9714526380421,NaN,2240.68211746119,6.12453542778125,NaN,NaN,NaN,4082.23933950882,NaN,8809.72158066419
55,NaN,0.108069604004226,NaN,1933.2101706396,NaN,NaN,NaN,NaN,3561.00388890454,NaN,3801.38280804269,NaN
60,NaN,NaN,19.2022643463346,NaN,2204.53459044471,NaN,NaN,1950.88200844918,NaN,3517.08870013954,NaN,7492.52148330348
65,0.074277971084676,NaN,NaN,1565.08393244873,NaN,9.86375134660602,0.00246597640757184,NaN,3008.50307107101,NaN,NaN,NaN
70,NaN,0.10437268997398,15.7237869721032,NaN,NaN,NaN,NaN,1467.97244434855,NaN,NaN,2709.11827626847,NaN
75,0.062193895198518,NaN,NaN,NaN,1601.75772020201,NaN,NaN,NaN,2630.58455955557,2914.31580809286,NaN,6036.60312104633
80,NaN,NaN,NaN,1115.06259329657,NaN,12.7219488803496,NaN,NaN,NaN,NaN,2246.56436050579,NaN
85,NaN,NaN,13.0111419329005,NaN,NaN,NaN,0.00152672637941696,1013.95080630322,NaN,NaN,NaN,4784.88055505742
90,NaN,0.124079621438899,NaN,NaN,1306.7118433517,NaN,NaN,NaN,2057.39782483189,2233.8103708983,NaN,NaN
95,0.0692486609315114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0504306683046455,0.125772747816266,10.2200341673805,810.911215404924,1011.4744283435,14.0594090789221,0.00125991285119244,976.569385619228,1643.76022973176,1720.55600828731,1639.88276962673,3532.9879490531
150,NaN,0.122001825238478,NaN,NaN,NaN,14.1959953592513,0.000844504690760013,NaN,NaN,NaN,NaN,NaN
200,NaN,0.131305298284171,NaN,NaN,NaN,12.920294719829,0.00105843136628064,NaN,NaN,NaN,NaN,NaN
