t,p2EpoRpJAK2_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_6_Obs,Compound_7_Obs,Compound_9_Obs,Compound_10_Obs
0,0.00448963724745929,-0.345164452189726,57.6290596316579,-7.65293415507079,121.045185188361,-2.80983681282452e-05,-2.10271489029816e-05,2.12769370985731,65.4632818815046,-139.873850978928,67.2744897155897,1.92312905321036,-25.6120564256368
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139.816792108135,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182.978531809304
7.5,NaN,NaN,NaN,23.9478426918338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.8480568596271,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,111.95832580886,NaN,NaN,NaN,NaN,NaN,NaN,272.281900625884,189.401027859591,280.431759624206,NaN
15,NaN,8.82181911299376,NaN,48.4911835086036,111.043364274504,NaN,0.000793362181229651,203.618380799119,244.398878307741,NaN,NaN,NaN,688.602435709912
20,0.00336144135941661,NaN,515.724515263367,NaN,NaN,0.00163662642720558,NaN,NaN,418.451555144693,NaN,NaN,NaN,1427.87172775857
25,NaN,14.2198979491822,NaN,253.114619276634,NaN,NaN,NaN,647.867151199491,548.721701341228,1648.10550652707,1928.97150675798,1301.12380037432,NaN
30,NaN,NaN,909.454318075788,423.688640578287,138.612416297403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2162.74393651762
35,0.00695870998785873,NaN,NaN,NaN,NaN,0.00225653094282629,0.00225686555596913,1072.41831706735,1037.28141084122,2344.94660133373,NaN,1951.32724017731,NaN
40,NaN,16.5035576560294,NaN,887.272721691578,NaN,NaN,NaN,NaN,NaN,NaN,3702.94894850752,NaN,2579.67359551024
45,NaN,NaN,1274.78102506763,NaN,123.196262027476,NaN,NaN,1299.85226007607,1389.53873841454,NaN,NaN,NaN,2652.1659749133
50,NaN,NaN,NaN,1150.64805084594,NaN,NaN,NaN,NaN,NaN,2640.02805325864,3966.74799999754,2464.67227906177,NaN
55,0.016491267939133,16.6164778169835,1330.59064804024,NaN,NaN,0.00232129408509727,0.00237574776369438,NaN,1470.71516332639,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,1247.61940412396,114.853610884506,NaN,NaN,1296.12971295053,NaN,NaN,NaN,2570.02276218225,2376.86232916966
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1479.15820577308,2477.64507231782,NaN,NaN,NaN
70,NaN,NaN,1212.54217547463,NaN,NaN,NaN,NaN,1241.19789643854,NaN,NaN,3682.9060493135,NaN,2350.09161640902
75,0.0280882111412148,14.0535730695103,NaN,1221.60041253505,NaN,0.00189516733233689,0.00191133212034619,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,121.232198680457,NaN,NaN,NaN,1350.18587660731,2147.11756143177,NaN,2319.99611165537,NaN
85,NaN,NaN,1004.56819516882,1176.85741493967,NaN,NaN,NaN,1108.94744488139,NaN,NaN,3103.26516892817,NaN,1964.68892284745
90,NaN,11.4718696509506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1190.11487484552,NaN,NaN,1879.88398125858,NaN
100,0.0399162960482997,11.0166625023534,878.961576359632,965.108809252325,138.722232368328,0.00150984705872633,0.00152303000872914,957.608634441039,1137.66678456167,1765.3359331194,2846.46642064964,1815.89061482121,1890.43776570517
150,0.0607053029584417,7.22248609794965,635.158883943574,640.542759002494,137.849275179819,0.00117023587820869,0.0011248127327977,689.961089790301,792.276989390317,1205.62099189977,1957.05261538563,1393.84528288203,1358.44726348901
200,0.064163351650452,6.87969917972368,614.93169986339,NaN,128.851488860122,0.00107065191020173,0.00104506266370807,581.836999359533,NaN,1161.14738248831,1956.27876987755,1292.7843430263,NaN
250,0.0692162261161505,6.62604851036225,575.366693887192,NaN,140.024981647889,0.00115183743226834,0.00107399191851001,NaN,NaN,1163.56840218879,1745.11578294268,1318.76315257424,NaN
300,0.0646784446741898,7.68031400343799,NaN,NaN,133.718026760009,0.00107117121613384,0.00102948488753983,NaN,NaN,1119.35274450589,1711.203200867,1167.12783486595,NaN
