t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,Uptake1_Obs,Uptake2_Obs,BoundUnspec_Obs
0,9313.52919544666,89.1025272019563,2519.88849246124,1.49138192398658,-2.76877379651953,451.761535762371,-493.168894993552
2.5,2113.09926791624,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,457.048008750621,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,16.2659989941405,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,6685.38927686322
5,1310.62018117689,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,200.138767293065,NaN,NaN,NaN,NaN
7.5,1293.18968361462,25.9654564656271,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,9.97254469467504,90.3508599166184,2364.92496576791,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,6011.38465831742
9.5,NaN,NaN,121.522628918495,NaN,NaN,NaN,NaN
10,1712.53841270513,NaN,NaN,NaN,NaN,NaN,NaN
15,1389.90740011421,7.16343046105471,-20.9115166876982,8.52842838484192,88.7720605242065,2606.22696267519,4798.6771606278
20,1365.360826958,15.9203373485064,83.5591189664493,9.74525402548801,NaN,NaN,4609.47201659355
25,1586.48730223693,NaN,112.599674744099,8.12415277862252,98.6580947829271,2835.73215767151,5680.76335280589
30,1542.13273209581,11.187843576803,NaN,7.50829058632284,NaN,NaN,5450.523717024
35,1915.86549853368,NaN,140.821794313455,NaN,81.3363292478633,2372.8865683535,4869.3852338923
40,NaN,17.8341312066556,142.388218731399,7.5689400884534,NaN,NaN,4963.61970909451
45,NaN,NaN,NaN,6.98523130344587,66.6935056042543,2743.05377380613,NaN
50,NaN,9.26236719301853,70.2739047968172,NaN,NaN,NaN,5351.13220901784
55,NaN,NaN,NaN,NaN,109.137356540157,NaN,4891.24471860917
60,NaN,18.6991939977159,NaN,7.78324885851086,NaN,3607.21211400076,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,5315.79169106342
70,NaN,15.0422105050275,NaN,6.96971342660979,86.1529612634585,3050.69542222782,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,5539.74211083746
85,NaN,20.9989207263814,NaN,NaN,119.290439542262,3133.5148684184,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,5097.1955391169
100,NaN,20.0822197901876,NaN,NaN,120.774101137392,3931.09510655761,3719.90543673695
150,NaN,20.9679218019338,NaN,NaN,129.001221566112,4473.58376669154,3646.77737432027
200,NaN,20.3351427348405,NaN,NaN,122.440798838383,5623.54953732732,NaN
