t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,Uptake1_Obs,Uptake2_Obs,BoundUnspec_Obs
0,101.380330259098,94.5757351924579,2232.88423297779,0.00874257331006977,0.044777466643192,-4.04911771252535,0.170755498371745
3.5,7.23912371018653,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,0.269125236052209,NaN,NaN,32.6555655748168
7,3.47211080294096,91.0926973606382,NaN,NaN,NaN,56.0329647904611,NaN
8,NaN,NaN,NaN,0.14316875505095,1.04594076204669,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,16.9175071305495
9,NaN,NaN,2556.01631759856,NaN,NaN,NaN,NaN
10,2.92018150056738,NaN,NaN,NaN,NaN,NaN,NaN
15,4.08911400771568,86.5971774595669,NaN,0.075388078755409,0.927265542720722,74.3177258736489,8.91241197775046
20,1.96036751312425,73.1095465425648,2389.14472292469,NaN,NaN,94.1250744888634,6.90568353827419
25,2.42880183254347,NaN,NaN,0.0508336979453939,0.890133070348719,NaN,5.02547941216043
30,4.31250782523255,83.7688717432575,2385.05690597334,0.059218303973688,NaN,97.174237317118,5.72835768482377
35,NaN,NaN,NaN,0.0458306228838768,0.731770881639556,NaN,6.03198721043895
40,1.0630049563966,68.0153808179936,2486.96630449338,NaN,NaN,88.5130534445819,NaN
45,NaN,98.072791016538,NaN,0.0428127270558952,0.810992832110281,NaN,8.1193872980422
50,2.15292480313904,NaN,2382.66337430645,NaN,NaN,79.8015839082353,NaN
55,NaN,NaN,NaN,0.0369858029615003,0.768904303449188,NaN,6.30281969615792
60,-0.257140841423383,96.4725092192125,2593.21120436387,NaN,NaN,100.198215068772,NaN
65,NaN,NaN,NaN,0.0543025319138606,0.582587104208455,NaN,NaN
70,NaN,83.3465708683708,NaN,NaN,NaN,NaN,6.88293625946633
75,NaN,NaN,2594.04657467996,NaN,NaN,93.3021820439187,NaN
80,NaN,NaN,NaN,NaN,0.814814503898266,NaN,NaN
85,NaN,78.6620285485758,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,2457.48536570693,NaN,NaN,98.0174753598264,NaN
95,NaN,NaN,NaN,NaN,0.738152466913288,NaN,NaN
100,NaN,88.08893402039,2691.38773736894,NaN,0.667515334049681,98.46940473273,NaN
150,NaN,75.7276427105561,2636.06144399575,NaN,0.547953157809685,92.0908465831599,NaN
200,NaN,NaN,2690.22181792927,NaN,NaN,NaN,NaN
