t,IR1_Obs,Uptake1_Obs,Uptake2_Obs,BoundUnspec_Obs
0,0.130018049580526,-0.634290602724052,6.87859087437877,-11.9713175335431
3.5,NaN,NaN,NaN,376.349433878825
5,2.34946461401402,NaN,NaN,NaN
6.5,NaN,NaN,908.926259034742,NaN
7,NaN,NaN,NaN,229.177006874603
8,NaN,10.8135656310872,NaN,NaN
10,1.42561487784852,NaN,NaN,162.4320669867
15,1.18761543533379,11.0880388066283,845.418617601226,134.721006345375
20,0.936619179928126,NaN,971.607218164739,101.046628642092
25,NaN,10.3269608213527,NaN,109.890626996731
30,0.688367322542707,NaN,734.200624951311,84.867634414641
35,0.74377724030851,8.12668277226107,948.674314632361,53.5739251915275
40,NaN,NaN,NaN,80.3374401208273
45,0.503561080953985,8.09284201737714,1010.77421718763,NaN
50,0.608504461274819,NaN,NaN,63.0950787698215
55,NaN,7.6932952661653,819.840046457435,NaN
60,0.505577942821243,NaN,NaN,80.9560498741296
65,NaN,NaN,1002.54972142407,NaN
70,NaN,8.3269990916381,NaN,64.2759990289619
75,0.318929318421517,NaN,NaN,NaN
80,NaN,NaN,970.651980059869,NaN
85,NaN,8.89347483072649,NaN,NaN
90,0.544373222633228,NaN,NaN,NaN
95,NaN,NaN,906.193731098645,NaN
100,NaN,8.44830266357228,900.704025114182,NaN
150,NaN,6.70587658763847,927.483678617821,NaN
