t,IR2_Obs,IR1in_Obs
0,9.6245063214923e-05,6.6110753767308e-06
5.5,0.00779377903038663,NaN
10,0.00447890832891811,NaN
15,0.00261981390193991,0.000816723011974209
25,0.00176522120115746,0.000678623619242115
30,0.00158495739349091,NaN
40,0.00174578853191232,0.000487661305592681
45,0.00163319047685732,NaN
55,0.00150291575681324,0.000395243749132438
70,0.0018359841064032,NaN
75,NaN,0.000378273861958277
85,0.00158726704883249,NaN
95,NaN,0.000260656914344333
100,NaN,0.000315817050609734
150,NaN,0.000252008955900903
200,NaN,0.000216857934782034
