t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1565.36820751316,8.82190852489444,332.535242465689,385.13281777608,2061.54245352545
15,NaN,NaN,NaN,NaN,2.86457706587155
20,NaN,NaN,2987.00012112265,0.349655275385013,NaN
30,NaN,5855.38362838353,NaN,NaN,NaN
35,5983.41246099023,NaN,NaN,NaN,0.239015975320894
40,NaN,NaN,1089.45977978453,0.202055105612181,NaN
55,NaN,NaN,NaN,NaN,0.592345157591775
60,NaN,1281.32976682998,NaN,NaN,NaN
65,2525.83641674826,NaN,525.635792308589,0.233378742068511,NaN
75,NaN,NaN,NaN,NaN,1.83396694748837
90,NaN,818.348322902556,445.158296874271,0.987096689508706,NaN
100,1540.84172596001,NaN,488.534967693909,1.62093857804627,1.56184309135622
150,823.615862075098,729.791198705439,480.337116368281,1.61442251762028,4.3766834909605
200,689.811368074276,437.08343481806,386.916818494468,0.643674630423378,5.45426914087686
250,801.640689817776,1821.32115248226,765.615307437336,3.03738665859354,1.33544396378753
300,1287.49360201086,NaN,186.927674569564,0.463712309400335,4.42720911307042
350,1470.99258357247,369.222440179807,NaN,2.72335840420518,NaN
400,NaN,2986.84502182707,NaN,NaN,NaN
450,1415.92030327426,NaN,NaN,NaN,NaN
