t,X_protein_Obs,Y_protein_Obs,Z_protein_Obs,X_mRNA_Obs,Y_mRNA_Obs
0,2.32075285030425,525.309801104574,14.0902674619173,384.952727196733,419.531116790441
20,NaN,NaN,NaN,0.220966147153901,0.253938577663934
35,NaN,NaN,17285.6299100415,NaN,NaN
45,2041.53037297203,NaN,NaN,0.238644143203087,0.257483425287222
50,NaN,3442.24148004624,NaN,NaN,NaN
70,NaN,NaN,3434.37871779588,0.21238671631403,0.217954531465143
90,286.185046408189,NaN,NaN,NaN,NaN
100,NaN,984.366863565966,1301.48891484044,0.220319191904064,0.361979696633139
150,517.178390551837,1200.47221663301,341.469907986471,0.498456811950392,0.540360273187068
200,1154.26388345595,777.589430361639,659.846678023819,0.592864789403306,0.412103825074896
250,575.678519810416,NaN,501.656975724773,0.367285124747247,0.345707567506302
300,NaN,675.893573801929,NaN,NaN,NaN
350,401.597819135493,NaN,347.209458167385,NaN,NaN
400,571.922126515193,589.251013129765,NaN,NaN,NaN
