t,X_protein_Obs,GFP_mRNA_Obs,Compound_1_Obs
0,-27.3516032728458,1.35038580165805e-05,2119.6019511419
6,NaN,8.35437362157917e-08,NaN
10,NaN,-9.84159028677389e-08,NaN
20,NaN,5.52723302249762e-08,NaN
25,1931.56790173178,1.29030832223881e-07,NaN
30,NaN,NaN,16159.060588114
35,NaN,-5.71954044832273e-08,NaN
45,686.087721874676,2.5110117051828e-08,NaN
55,NaN,-1.67233993795896e-07,NaN
60,NaN,NaN,3501.24437598455
70,246.000798018628,2.00263282670066e-07,NaN
90,NaN,NaN,2562.66672634695
100,681.913285764312,NaN,NaN
150,594.453983020155,NaN,2616.21894640794
200,813.945375777495,NaN,2073.28703643121
250,504.5582575174,NaN,1373.27572732068
350,510.708020713605,NaN,1909.91528494809
400,NaN,NaN,1400.02587561541
