timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0105213935246649,7.7484194192884,0.000874562793341943,8.22598943788344
100,0.0210655028733152,NaN,NaN,NaN
150,NaN,12.7857755538374,NaN,NaN
200,0.0267955868127612,NaN,NaN,NaN
300,0.0529488313206865,9.96344961059732,NaN,9.54201392488452
400,NaN,NaN,0.00809604487298002,NaN
450,0.112002195666139,6.89094492940456,NaN,NaN
600,0.180872785562074,6.25318000375339,NaN,4.80280311414347
750,0.299034807990335,4.46459262921291,NaN,NaN
800,NaN,NaN,0.219891048859744,NaN
900,NaN,NaN,NaN,3.12621826180092
950,0.315938061161354,3.03134354836758,NaN,NaN
1000,NaN,2.16269730651244,0.50791462064283,NaN
1500,NaN,0.280214070829716,0.82362829385655,1.32753301879343
2000,NaN,0.0491976579141389,0.774355850649607,0.920917950588083
2500,NaN,0.0161681706446671,NaN,1.0614826956988
3000,NaN,NaN,0.393061900064176,0.936655956112328
3500,NaN,NaN,0.25313224244803,NaN
4000,NaN,NaN,0.241397286267743,0.535067710921193
4500,NaN,NaN,NaN,0.584980111586177
5000,NaN,NaN,0.166707143028104,NaN
5500,NaN,NaN,NaN,0.496347300047174
6000,NaN,NaN,0.13758408160157,NaN
7500,NaN,NaN,0.0693761266490157,NaN
