timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.020648321401525,11.6739864434007,0.000872054213103695,7.49939416141143
350,NaN,10.8489783849177,NaN,NaN
400,0.0481626024490213,NaN,NaN,NaN
450,NaN,NaN,0.00155554741577469,9.82275226886078
700,NaN,12.7310050904319,NaN,NaN
750,0.114782129705373,NaN,NaN,NaN
900,NaN,NaN,NaN,8.43234917757291
950,NaN,NaN,0.0177098900986058,NaN
1000,0.219561073371716,9.34657631361403,NaN,NaN
1500,0.735094399073707,8.36283802573142,0.318576322094635,9.84881123160183
2000,1.72428891387812,5.43436924623863,1.24440311177198,7.06988317210811
2500,1.98349600408596,2.80085101620634,1.29991410440445,6.83722692445347
3000,1.85600245311313,1.63933901291388,NaN,4.3382011963434
3500,NaN,NaN,0.789042997441841,NaN
4000,1.30293765972045,0.411468416352116,NaN,2.96136168642468
4500,NaN,0.306739213548056,0.274515799062517,NaN
5000,2.12077530505326,NaN,NaN,2.19984940123878
5500,NaN,0.0773488660929003,0.1208004037102,NaN
6000,1.92384353527055,NaN,NaN,2.04728189386856
6500,NaN,NaN,0.0384031142877226,NaN
7000,2.10087811914053,0.0244538340473664,NaN,2.32272055211904
8000,NaN,NaN,0.0191502521807006,NaN
8500,1.70140442100021,NaN,NaN,1.98714691023469
