timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0104214928476867,11.9932289328082,1.09847361414305e-05,10.0149536617586
30,NaN,0.00951484441535834,NaN,NaN
65,NaN,0.00945078964447442,NaN,NaN
100,0.0109119924965053,0.011412918291934,NaN,NaN
150,NaN,0.0106467055165295,NaN,NaN
200,NaN,0.00849747540246927,NaN,0.0222170124709431
250,0.0250874471185213,0.00986711420367991,NaN,NaN
300,NaN,0.00727636246585527,NaN,NaN
350,NaN,0.0137041905726526,NaN,0.0379462654209954
400,0.0493870385719131,0.00974890631731214,0.00379038746788964,NaN
550,0.107925308146685,NaN,NaN,0.10849505392417
700,0.176866953537208,NaN,NaN,NaN
750,NaN,NaN,0.00385854416770713,NaN
800,NaN,NaN,NaN,0.258795796687054
850,0.299018645134396,NaN,NaN,NaN
1000,0.440917319276008,NaN,0.00413717005601185,0.399901335233005
1500,0.353379625078224,NaN,0.00198262917719876,0.39851141906015
2000,0.544997250256386,NaN,0.00296253279858956,0.512410182184909
2500,0.482405458664141,NaN,0.00201932463837523,NaN
3000,NaN,NaN,0.0030143891981598,NaN
4000,NaN,NaN,0.00157898583717585,NaN
4500,NaN,NaN,0.00170128878521701,NaN
5500,NaN,NaN,0.000871088330443148,NaN
6500,NaN,NaN,0.00149868397679775,NaN
7500,NaN,NaN,0.000832486325660906,NaN
