timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0111863767015939,10.9901784907105,0.000963164896247138,11.9813082207216
200,0.0116762842768993,NaN,NaN,NaN
400,NaN,NaN,NaN,9.33708375168935
450,0.0268049869008258,9.9993194066188,0.00119067979214657,NaN
700,0.0513273750061265,NaN,NaN,NaN
850,NaN,8.20134713344242,NaN,7.61169413512688
900,NaN,NaN,0.00738288619328269,NaN
950,0.125139095033245,NaN,NaN,NaN
1000,0.176569331172805,NaN,NaN,NaN
1500,0.306521778748385,9.1370103384128,0.117648794659595,9.47195684661461
2000,0.670968327896442,7.48737624483016,0.376548237875585,NaN
2500,0.639123808755685,10.0677118074565,0.671200313724352,8.49076942350893
3000,NaN,4.9251693417681,0.749714693205474,6.14627208861117
3500,0.491772293781264,NaN,NaN,6.05102982459209
4000,0.603612385860849,3.88314964906231,0.521941542713,4.87498465538286
4500,NaN,3.70637875619616,NaN,NaN
5000,NaN,NaN,0.391108023837962,4.19499699820808
6000,NaN,1.83511931321426,0.300967702592253,2.78819182624353
7000,NaN,1.0124546045603,0.19768226560265,2.06976233917971
8500,NaN,0.630616758960406,0.0859039595382909,1.0637799727859
