timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0105137208387978,8.28906063660215,0.000892062864303215,9.3716540463834
200,0.0150764727301395,10.3816187513745,NaN,NaN
350,NaN,7.63232158840079,NaN,NaN
400,NaN,NaN,0.00278315908731534,9.96373015259991
450,0.0268170993543748,NaN,NaN,NaN
550,NaN,10.7716531616939,NaN,NaN
650,0.0494064502175262,NaN,NaN,NaN
800,NaN,6.7515559015436,0.0202437852754345,NaN
850,NaN,NaN,NaN,8.62919739159658
900,0.0684959714599915,NaN,NaN,NaN
1000,0.0683495927524126,8.04953849160484,0.0772510979286272,NaN
1500,0.142753758802345,3.89395651973385,0.300494961773,4.71687278629001
2000,0.217295051646706,0.763630347931439,0.636053381291184,2.258529986104
2500,0.337363583229963,0.202082548678791,NaN,1.2546191195063
3000,NaN,0.0350367842615355,0.69872886174457,0.833539248208048
3500,0.471301420296899,0.0149983608367018,0.351517614429034,0.87767536539665
4000,0.416594463912479,NaN,0.421794938168552,NaN
4500,NaN,NaN,NaN,0.560839532778341
5000,NaN,NaN,0.257894787546125,NaN
5500,NaN,NaN,NaN,0.485612692303081
6000,NaN,NaN,0.134342529882105,NaN
7000,NaN,NaN,0.104316837046389,0.381094307228533
8500,NaN,NaN,0.0735078436996849,0.463768443131473
