timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0104972793077358,10.1520012161754,1.31772138846151e-05,8.90365491781192
40,NaN,0.010461280211962,NaN,NaN
80,NaN,0.00885554371646946,NaN,NaN
100,NaN,0.00915409657886918,NaN,NaN
150,NaN,0.0129447635660736,NaN,0.0126460544537284
200,0.0133605434529552,0.00933058055866683,NaN,NaN
300,NaN,0.00982809386399089,NaN,NaN
350,NaN,0.0102611071717663,0.00420684392444846,0.0394655971757913
400,0.0315426244594574,NaN,NaN,NaN
450,NaN,0.0106665536197834,NaN,NaN
550,NaN,NaN,NaN,0.0497165313413976
650,0.061345121960023,NaN,0.00484810582261059,NaN
750,NaN,NaN,NaN,0.111923820130495
850,0.127673293572419,NaN,NaN,NaN
1000,0.149560874092988,NaN,0.00325902065407058,0.219901605902775
1500,0.418039196709034,NaN,0.0020708546077,0.574303069222417
2000,0.509292290264644,NaN,0.00300502841681233,NaN
2500,0.605800971037581,NaN,0.00178450560961346,NaN
3000,0.630035635176845,NaN,0.00163065197319039,NaN
3500,0.492564300095475,NaN,0.00180457650231885,NaN
4000,NaN,NaN,0.00155371199678732,NaN
5000,NaN,NaN,0.00139671837264793,NaN
5500,NaN,NaN,0.00133208124390224,NaN
