timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0110611637911936,9.35582375934584,0.000740278230829291,9.94790290396404
350,0.0145062887987649,NaN,NaN,8.01416083581306
400,NaN,10.5215314453611,NaN,NaN
450,NaN,NaN,0.00128699621947589,NaN
750,0.0420977385381264,NaN,NaN,8.68831275636021
800,NaN,10.3889004958621,NaN,NaN
900,NaN,NaN,0.0039655202149782,NaN
1000,0.0913317764711857,8.11868684267466,NaN,10.054340239581
1500,0.256674689362556,9.40561430134862,0.0594010054341794,10.7493289556038
2000,0.627788697974207,9.3882079877367,0.353532993350283,9.25517871108936
2500,0.939932322524092,6.75249166854207,1.04825254570535,8.36963571561421
3000,0.998963702890112,NaN,0.905487128774077,5.5506117969461
3500,NaN,3.90338794439063,NaN,NaN
4000,1.14429891428819,2.15213697160676,0.832129995583259,3.32165998880615
5000,0.77078192618111,0.988376673085798,0.446298726621578,2.44944356332413
6000,1.25301680832956,0.514987390965704,0.2631275845978,1.88140921758054
7000,1.20129011113164,0.374487197860309,0.13503475078574,1.18897732964545
8500,1.06070951382596,0.11394191332729,0.0440543869626164,1.27251662054258
