timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.00944452706961255,11.3903286135905,0.000962903582300878,12.4501811978339
200,0.0187464232203957,NaN,NaN,NaN
350,NaN,NaN,0.00113653311653023,NaN
400,NaN,NaN,NaN,10.2909891969223
450,0.0210699619393103,NaN,NaN,NaN
500,NaN,10.96132919772,NaN,NaN
700,0.0545270494544284,NaN,NaN,NaN
750,NaN,NaN,0.00434762575231263,NaN
850,NaN,NaN,NaN,12.5492462871628
950,0.113847766287911,NaN,NaN,NaN
1000,NaN,12.5721019780571,0.0122186695943048,NaN
1500,0.279831352251185,7.54283961464436,0.114366911612634,6.99617743928393
2000,0.580999697794047,7.34635122402171,0.381070998808368,8.66856268211734
2500,0.640633384412579,NaN,0.743904190413024,9.11073658873518
3000,0.634116558519546,4.54391012590485,0.699598059453642,6.64241763110606
3500,0.566618165755725,3.48120164220645,NaN,NaN
4000,NaN,NaN,0.466477983362022,4.33798392771312
4500,NaN,2.15136181617591,0.606296405482023,2.92576866343698
5500,NaN,1.55452917315055,0.325165562267831,NaN
6000,NaN,NaN,NaN,2.36003533342125
7000,NaN,0.572852297664565,0.143173318362574,1.79411460990517
8500,NaN,0.312612142230185,NaN,NaN
