timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0106465726401124,8.86400941719198,0.000841174495860925,10.7133494605375
150,NaN,8.49393737050297,NaN,NaN
200,0.0191860370811988,NaN,NaN,NaN
250,NaN,10.2570651475079,NaN,NaN
400,0.0317994048055466,8.63085649250542,NaN,9.67681534475716
450,NaN,NaN,0.00435753506052817,NaN
550,NaN,11.4230208737536,NaN,NaN
600,0.0911379447065087,NaN,NaN,NaN
700,NaN,8.79199130566557,NaN,NaN
800,NaN,NaN,NaN,6.01472379948883
850,0.155967944185417,NaN,NaN,NaN
900,NaN,6.72905887181301,0.129585254083841,NaN
1000,0.313907578395844,4.28172859917502,NaN,4.05917967092499
1500,0.461557172373302,0.512656294160934,0.69119543443024,1.85297123035052
2000,0.760022811794738,0.0297988363022578,0.919767870971243,1.56789273357914
2500,0.654396017751035,0.00955462504113963,0.680054796613676,1.01119583510668
3000,0.712849094923179,0.0103685468464221,0.409804819977179,NaN
3500,0.529447737570572,NaN,NaN,0.902509010621051
4000,NaN,NaN,0.245417358143483,0.915619759647999
5000,NaN,NaN,0.245572499284397,0.906094235858571
6000,NaN,NaN,0.0969046268621,0.866035930780347
7000,NaN,NaN,0.0858293158191536,0.792502726578333
8500,NaN,NaN,0.0549616751587434,0.688401268545843
