timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0126399996592825,9.55260061192092,0.000110296704284135,10.1003316897993
200,NaN,8.7133897943597,NaN,NaN
350,NaN,9.20308817958957,NaN,NaN
400,0.0119868427144325,NaN,NaN,10.3277024064246
450,NaN,NaN,0.000140658823481434,NaN
550,NaN,9.02439377445433,NaN,NaN
750,NaN,8.59868327801277,NaN,NaN
800,0.0109961500130738,NaN,NaN,10.5235719597554
900,NaN,NaN,0.000570324547628288,NaN
1000,NaN,9.22166444971266,NaN,10.8967106584155
1500,0.331791430371927,6.30792247187514,0.0119871616018273,7.46265890393184
2000,NaN,1.80159865780734,0.122194884266375,3.10417790191729
2500,0.715113601520539,0.420263583259468,0.147131652695064,1.09907750274053
3000,0.620287257804927,0.110374546718177,0.127739319376806,NaN
3500,0.506099054660236,NaN,0.0818962040258078,0.569676883029764
4000,NaN,0.0148338858971101,NaN,0.65328798862275
4500,0.439923902758671,NaN,0.0492303315824739,NaN
5000,NaN,NaN,NaN,0.602484077113561
5500,0.561074065817996,NaN,0.0320331106582949,NaN
6000,NaN,NaN,NaN,0.466796505710824
6500,NaN,NaN,0.0257076996315108,NaN
7000,0.505774177243612,NaN,NaN,0.613577680484795
8000,NaN,NaN,0.0200084475956009,NaN
8500,0.555604671216847,NaN,NaN,0.359335252326244
