timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.00976048848611975,8.47526303032091,1.02065454154583e-05,8.02004917657247
35,NaN,0.00812814635145004,NaN,NaN
75,NaN,0.0111118943979478,NaN,NaN
100,NaN,0.010633226470646,NaN,NaN
150,NaN,0.00835700465109352,NaN,0.0218940977731901
200,NaN,0.0104540985403891,NaN,NaN
300,NaN,0.0115712777632821,NaN,NaN
350,NaN,0.00936375155851449,0.00411613209077598,0.0597953562572467
400,0.07178857777098,NaN,NaN,NaN
450,NaN,0.00845942637410325,NaN,NaN
550,NaN,NaN,NaN,0.156716120384367
750,0.422191217578639,NaN,0.00397889763024783,0.461083024224932
1000,0.815991053151636,NaN,0.00355226727246787,0.981865438432501
1500,1.01506281856193,NaN,0.00302972280292962,0.874079288603656
2000,0.970118815748258,NaN,0.00415088960534303,NaN
2500,0.718313676176741,NaN,0.00241809554250501,NaN
3000,0.792872918685252,NaN,0.0019232702672999,NaN
4000,0.889503668332932,NaN,0.00195575694193833,NaN
4500,NaN,NaN,0.00124909520065198,NaN
5000,0.803978845640673,NaN,NaN,NaN
5500,NaN,NaN,0.001862295029839,NaN
6000,0.831665685868623,NaN,NaN,NaN
6500,NaN,NaN,0.000879932700424041,NaN
7000,0.900161201960311,NaN,NaN,NaN
8500,1.13276971596569,NaN,NaN,NaN
