timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0104509144707194,10.6259486660991,0.00116319793864324,11.9333784500547
80,NaN,9.80734544644728,NaN,NaN
150,NaN,9.26474150292766,NaN,NaN
200,0.0153183212912527,NaN,NaN,NaN
250,NaN,9.82625918806032,NaN,NaN
300,NaN,NaN,NaN,7.33560789618535
350,NaN,10.5254822128444,NaN,NaN
400,0.0287724332392588,NaN,NaN,NaN
450,NaN,11.0781495136096,0.00466919723505997,NaN
550,NaN,9.35060172092396,NaN,NaN
600,0.0604940605093476,NaN,NaN,NaN
650,NaN,8.81677330264894,NaN,9.85021251696179
800,0.0931442199381808,6.23170363517168,NaN,NaN
900,NaN,NaN,0.0682615758951541,NaN
950,NaN,5.95973973881554,NaN,NaN
1000,0.176788712065731,5.85546270103456,NaN,5.11439605773352
1500,0.403292941710302,0.83395105063223,0.619166058446205,1.45744062858687
2000,0.638759106575756,0.0423181762890793,0.828644712904922,1.13482375939458
2500,0.750087562024239,NaN,0.510669452763464,1.30357680160535
3000,0.870609981226355,NaN,0.460448095041839,NaN
3500,NaN,NaN,NaN,1.15214593987835
4000,1.17571167787698,NaN,0.300695678337954,1.05401779734595
5000,NaN,NaN,0.174112243168322,0.79831245786051
6000,NaN,NaN,0.131579907840267,1.08219884912562
7000,NaN,NaN,0.0809224120946572,NaN
8500,NaN,NaN,0.0661441715093184,NaN
