timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0195009572881811,10.2743564613566,8.7204312250256e-06,11.4747129856662
40,NaN,0.00940023892511586,NaN,NaN
80,NaN,0.00978763235573413,NaN,NaN
100,NaN,0.0137691639693966,NaN,NaN
150,NaN,0.00861032075505822,NaN,0.0260751297114806
200,NaN,0.00979974473195861,NaN,NaN
300,NaN,0.0120271738341338,NaN,0.0410535024009315
350,NaN,0.00775448896943135,NaN,NaN
400,0.0850836516168906,NaN,0.00352387461875293,NaN
450,NaN,0.0115277355668418,NaN,NaN
500,NaN,NaN,NaN,0.100444232367547
700,NaN,NaN,NaN,0.196144989065831
800,0.387022083550889,NaN,0.00418998789719166,NaN
900,NaN,NaN,NaN,0.671866581862069
1000,NaN,NaN,NaN,0.742205538957668
1500,1.31562476537266,NaN,0.00414172352655795,1.57835935549144
2000,NaN,NaN,0.00228074969656198,1.13332852231193
2500,1.17323007603789,NaN,NaN,NaN
3000,1.20701349128379,NaN,0.00235280855265244,NaN
3500,1.38571793610383,NaN,0.00130475247674451,NaN
4000,NaN,NaN,0.00183364913160735,NaN
4500,1.28283467982572,NaN,NaN,NaN
5000,NaN,NaN,0.00193512352494737,NaN
5500,1.09860994402378,NaN,NaN,NaN
6000,NaN,NaN,0.00129040319375471,NaN
7000,1.34921931439847,NaN,NaN,NaN
7500,NaN,NaN,0.00101778431296444,NaN
8500,1.54645968686977,NaN,NaN,NaN
