timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.00905221725080942,12.4576133781962,0.00135810236229981,9.74683591023119
150,NaN,9.52536424641544,NaN,NaN
200,0.0130721102626244,NaN,NaN,NaN
300,NaN,8.83777554946735,NaN,NaN
350,NaN,NaN,0.00222474234934059,NaN
400,0.0318682811660677,NaN,NaN,NaN
450,NaN,8.41423284872424,NaN,7.31235322090154
600,NaN,8.27071674971699,NaN,NaN
650,0.0568760027790198,NaN,NaN,NaN
750,NaN,NaN,0.0225343099989287,NaN
800,NaN,6.39273994928165,NaN,NaN
900,0.0913372922084063,NaN,NaN,5.81629837268726
1000,0.146959906835911,6.5008767176364,0.113309439998796,NaN
1500,0.265059146605372,2.15463950253785,0.521097177471831,2.52334860051588
2000,0.421264320742823,0.165072332246529,0.690768390484679,1.36521613361879
2500,0.542230748991263,0.0297337454462657,0.536901084360267,1.41805266314322
3000,0.568535857553684,0.0123227465386669,0.462076348313421,1.07103346538183
3500,0.499145100644022,NaN,NaN,NaN
4000,NaN,NaN,0.284215370651364,0.884266352192527
4500,NaN,NaN,NaN,0.760753234238037
5000,NaN,NaN,0.238940211772775,NaN
6000,NaN,NaN,0.120831091108956,0.795406114253737
7000,NaN,NaN,0.110196327466083,0.67840797325627
8500,NaN,NaN,NaN,0.655158502726737
