timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0212716395474675,10.3301230616125,0.000916474797008928,8.05956272951456
350,NaN,9.83569676998287,NaN,NaN
400,0.0330142145342174,NaN,NaN,NaN
450,NaN,NaN,0.00104545820818108,NaN
500,NaN,NaN,NaN,9.19217991859079
700,NaN,7.32461713191031,NaN,NaN
850,0.115820226550167,NaN,0.00945452021096039,NaN
1000,NaN,10.7090228092984,NaN,10.3333906428086
1500,0.729074261544909,7.20822505999785,0.334287567986489,11.203625246523
2000,1.30529778022171,5.46553789304774,0.974433646282148,6.55244330785584
2500,1.56295182755354,2.77269959512131,1.37500065486229,NaN
3000,1.64863054568663,2.43797495930803,1.12682117721379,3.90836589474782
3500,1.86131886429078,NaN,NaN,2.92044028698152
4000,NaN,0.641670849682629,0.44331678896827,NaN
4500,1.39926238070953,0.463728619837792,NaN,2.38671076348054
5000,NaN,NaN,0.213820906068594,NaN
5500,1.68413923447126,0.163481221109944,NaN,1.96384530306799
6000,NaN,NaN,0.103326482080178,NaN
7000,1.30024441074446,0.0599747443568301,NaN,1.59618500956085
7500,NaN,NaN,0.0306391802238425,NaN
8500,1.22859863777517,NaN,NaN,1.56902423807785
