timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0114238230245587,7.60949367567869,8.16360991258375e-06,9.87454932583698
35,NaN,0.00934133676702201,NaN,NaN
75,NaN,0.0125321019132031,NaN,NaN
100,NaN,0.0107335776559387,NaN,NaN
150,0.0229790544921197,0.00785496837890287,NaN,0.0200741508146807
200,NaN,0.00983468458647686,NaN,NaN
250,NaN,0.0110166868307617,NaN,NaN
300,0.0388249232663524,NaN,NaN,NaN
350,NaN,0.0131210060712567,NaN,0.0586534586239742
400,NaN,0.00903686434427504,0.0043245578647246,NaN
450,0.108215973609158,NaN,NaN,NaN
500,NaN,NaN,NaN,0.154774903653081
600,0.228955840791279,NaN,NaN,NaN
750,0.44331051054539,NaN,NaN,0.433447813948321
850,NaN,NaN,0.00363707923489858,NaN
950,0.74200810546295,NaN,NaN,NaN
1000,0.822198191151133,NaN,NaN,0.836547409324899
1500,1.14572379513849,NaN,0.00332611547125945,1.21720676004814
2000,1.42899386507165,NaN,NaN,NaN
2500,1.22633139442139,NaN,0.00233166980402988,NaN
3000,1.45516257776395,NaN,0.00216684299068431,NaN
3500,NaN,NaN,0.00210713551202761,NaN
4500,NaN,NaN,0.00163664652092286,NaN
5000,NaN,NaN,0.00149670393281086,NaN
6000,NaN,NaN,0.00117846005375618,NaN
7500,NaN,NaN,0.000987670531633083,NaN
