timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.0123358528816004,12.379774575379,0.00110974735847768,9.00082914065622
200,0.0147386005171624,NaN,NaN,NaN
400,0.0447488852228033,NaN,NaN,NaN
450,NaN,11.8151067602568,0.00190124258954929,10.1773075626764
650,0.096544590409391,NaN,NaN,NaN
850,0.130398523034045,NaN,NaN,NaN
900,NaN,10.5329573201121,0.0158516116844965,7.07300766432032
1000,0.217441122121138,NaN,NaN,NaN
1500,0.553316467420387,9.65139457267099,0.242407376400663,10.5644917033712
2000,0.606231708312711,8.0757182746326,0.702573958234085,7.67806877094561
2500,0.59921544531032,6.06802516432448,0.746952187428714,8.68747337041074
3000,0.578813351386499,4.10967417087329,0.460505529816095,5.80621523625977
3500,0.725494464678544,NaN,NaN,NaN
4000,0.596153352071729,3.01322476943563,0.522879272025343,3.8925180829169
4500,NaN,2.64323585064118,NaN,4.00840603025775
5000,NaN,NaN,0.314202559334255,NaN
6000,NaN,1.26918937653685,0.209238258351777,2.67377609596153
7000,NaN,1.00953514510419,0.141232320731735,1.92864118083641
8500,NaN,0.4776381747002,0.100574430605684,1.12107148380135
