timepoint,Bac_Obs,Glu_Obs,Ind_Obs,Compound_1_Obs
0,0.018405552507498,9.99303425561547,7.34699163643438e-06,9.9367506179109
40,NaN,0.0117926503373689,NaN,NaN
80,NaN,0.00840655985458738,NaN,NaN
100,NaN,0.00913515394966441,NaN,NaN
200,NaN,0.0129376621559081,NaN,0.0195266367515982
250,NaN,0.0112156911492651,NaN,NaN
300,NaN,0.00978372760607467,NaN,NaN
350,0.0516764350314489,NaN,NaN,NaN
400,NaN,0.00782549468975008,NaN,0.0483043102680884
500,NaN,NaN,0.00335387822247664,NaN
600,NaN,NaN,NaN,0.0975420250618218
750,0.240263269536316,NaN,NaN,NaN
850,NaN,NaN,NaN,0.270262075610898
1000,0.448925254443027,NaN,0.00311657877563434,0.504535111607032
1500,0.946845153917291,NaN,0.00251792692061327,1.04946000977755
2000,1.63796586832842,NaN,0.00363415667466942,1.60647520395839
2500,1.66707024470429,NaN,NaN,NaN
3000,1.61505017401233,NaN,0.00188574400301314,NaN
3500,NaN,NaN,0.00175311490338366,NaN
4000,1.88858832479691,NaN,NaN,NaN
4500,NaN,NaN,0.00151910245289163,NaN
5000,1.86292697736096,NaN,NaN,NaN
6000,1.59310658583075,NaN,0.00122489164764185,NaN
7000,1.50563709431675,NaN,0.000892216446870207,NaN
8500,1.48630323053953,NaN,NaN,NaN
