t,input_il6,pJAK1_gp130_Obs
92,0,0.000157943653082581
92,0,0.000273471891429998
92,0,0.000402086038669201
92,0,0.000479337140227676
92,0,0.000553567700188027
92,0,0.000581339164676118
92,0,0.000597938023747892
92,0,0.000638596655289248
92,0.0005,0.000559591689610005
92,0.0005,0.000772434059473053
92,0.005,0.000530115541284078
92,0.005,0.00081667576608572
92,0.05,0.000490085671625116
92,0.05,0.000601057983961362
92,0.05,0.000606295364644421
92,0.05,0.000865924205984027
92,0.1,0.000418587552621971
92,0.1,0.000428891431954517
92,0.1,0.000512185434502475
92,0.1,0.000549025348488674
92,0.1,0.000721513635537839
92,0.1,0.000775134542263974
92,0.1,0.000782112904752668
92,0.1,0.000885264021335871
92,0.5,0.000681125350481486
92,0.5,0.000718465365776315
92,0.5,0.000741838867077333
92,0.5,0.000859066126401122
92,0.5,0.000914507954495744
92,0.5,0.000948659195307311
92,1,0.000529810444014559
92,1,0.000724562399514731
92,2.5,0.000819273034949542
92,2.5,0.0008811109189969
92,2.5,0.000942416967961678
92,2.5,0.000961395592639705
92,2.5,0.00107685647562755
92,2.5,0.00120395598216097
92,2.5,0.00124118274487213
92,2.5,0.00129525022827617
92,5,0.00122076458963868
92,5,0.00123493731073788
92,5,0.00125884315780134
92,5,0.00132658074286304
92,5,0.00138440619834224
92,5,0.00151387681936731
92,10,0.00147450787826814
92,10,0.00154264822558682
92,10,0.00155506110795314
92,10,0.00157293571674074
92,10,0.00162864289202266
92,10,0.00164409781004919
92,10,0.00177353258203621
92,10,0.00185551801151225
92,25,0.00233129888928935
92,25,0.00253537423624802
92,25,0.0025367700067852
92,25,0.0025690634548755
92,25,0.00260249981110506
92,25,0.00260598217762795
92,25,0.00264888961909568
92,25,0.00278849411133788
92,50,0.0034622739359583
92,50,0.00359839518129022
92,100,0.00399145952397288
92,100,0.00411380767810305
92,200,0.00383119803582258
92,200,0.00396499797427723
92,200,0.00401191460644245
92,200,0.00409612851527673
92,500,0.00385251810343199
92,500,0.00387660495544877
92,500,0.00399391482248183
92,500,0.00404527553536617
92,500,0.00405257747235962
92,500,0.00408360525850662
