t,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs
0,0.00330201803889607,37.2040105170914,0.0319313904347441
7,NaN,60.9731269357467,NaN
9.5,NaN,NaN,0.0948097729087596
10,0.035755049609713,NaN,NaN
15,NaN,79.9068344096533,NaN
20,NaN,65.7059010916064,1.21641331613106
25,0.0273714314272783,NaN,NaN
30,NaN,42.838454473898,0.93365019920535
40,0.000960989841439902,33.563578055038,NaN
45,NaN,NaN,0.0379973360786856
50,NaN,38.3664791681515,NaN
55,0.00505285349127863,NaN,NaN
60,NaN,39.8346841690124,0.0340068313649464
70,0.00441782576510898,39.5555858074994,NaN
75,NaN,NaN,-0.0142433081585426
85,NaN,41.727637017371,NaN
90,0.00967547164370999,NaN,NaN
95,NaN,NaN,0.119025132473156
100,0.0108636819530145,46.8893885234197,NaN
150,0.00984931865300887,41.9349609385438,NaN
