t,input_il6,nSTAT3_Obs
15,0.1,36.7109581899158
15,0.1,45.1188967508848
15,0.1,36.7191521179135
15,0.1,42.0971393754723
15,1,39.9246859385384
15,1,43.9620897291051
15,1,37.5692922893473
15,1,37.7205693479439
15,5,56.7379469113917
15,5,52.8204614544307
15,5,51.6912874317092
15,5,59.4351563074075
15,10,81.8011226151517
15,10,85.8096429125432
15,10,75.5747077527508
15,10,89.876847604654
15,50,51.2916230867415
15,50,60.4336421772712
15,50,49.2129943114914
15,50,50.4494661099805
15,100,85.2086897924251
15,100,83.3246721756959
15,100,81.9540495051159
15,100,77.8476895037883
15,500,67.3040488895304
15,500,66.7701920300916
15,500,72.4579696301266
15,500,69.0882933114179
