t,input_il6,pJAK1_gp130_Obs
1600,0.1,0.000599849460652084
1600,0.1,0.000422727007215006
1600,0.5,0.000864866180961549
1600,0.5,0.000609895305405369
1600,1,0.000997262919743813
1600,1,0.000405274361899172
1600,2.5,0.0016799717972443
1600,2.5,0.00170567760476052
1600,5,0.003768012250032
1600,5,0.00370696156127043
1600,10,0.000919496188788006
1600,10,0.000867264665101901
1600,25,0.00257403016437852
1600,25,0.0021398453533359
1600,50,0.00118933285527509
1600,50,0.00157479910956907
1600,100,0.00289243482095002
1600,100,0.00296933054388567
1600,500,0.00483334428092146
1600,500,0.00520199232443441
