t,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs
0,0.00361727189059045,36.7679874240948,0.0108320147659218
5,NaN,38.30646764873,NaN
9,0.0114654382800508,NaN,NaN
10,NaN,44.190356450131,0.0159614292075615
15,NaN,50.5930926660067,NaN
20,0.0143798648323501,54.2151949419161,0.139874685576882
25,0.0159575168819158,NaN,NaN
30,NaN,53.1774980052938,NaN
35,NaN,46.4127154254567,0.210859937391672
40,0.00870756903397095,NaN,NaN
45,NaN,43.8859935042641,NaN
50,0.00651979297556249,NaN,0.0691038394245541
55,NaN,39.0495631313698,NaN
60,0.00676428931338698,NaN,NaN
65,NaN,NaN,0.0279007520640925
70,NaN,41.8902771817701,NaN
75,0.00596644821289207,NaN,NaN
80,NaN,45.3222356141874,NaN
85,NaN,NaN,0.0374188564123272
95,0.00799739440830015,NaN,NaN
100,0.00572054424254839,38.4978074153722,NaN
150,0.00767515491715606,NaN,NaN
