t,input_il6,pJAK1_gp130_Obs
92,0.1,0.00039264643551722
92,0.1,0.00145901298118523
92,0.5,0.000705035765969317
92,0.5,0.00143730660769388
92,1,0.000416550388907168
92,1,0.00110307403164485
92,2.5,0.00116919463341085
92,2.5,0.00203058666120126
92,5,0.00190773508913024
92,5,0.00191972993274122
92,10,0.00295538919621913
92,10,0.00302787709143677
92,25,0.00383547541430252
92,25,0.00435528984927401
92,50,0.00494406466720745
92,50,0.00511807404719041
92,100,0.00682354845914526
92,100,0.00736110496564969
92,500,0.0110184696950285
92,500,0.011612549100066
