t,input_il6,pJAK1_gp130_Obs
630,0.1,0.000489125807718453
630,0.1,0.000523348102528899
630,0.5,0.000607403530538522
630,0.5,0.000875077579855282
630,1,0.0010323706330589
630,1,0.000680595087905168
630,2.5,0.00205489390780765
630,2.5,0.00170022170795367
630,5,0.00350155476548828
630,5,0.00391407527033823
630,10,0.000702040714147018
630,10,0.000912141985111912
630,25,0.00245779186661751
630,25,0.00241859451881975
630,50,0.00128907328817345
630,50,0.00164553625004493
630,100,0.00283171284722352
630,100,0.0030956655569655
630,500,0.00503785143941248
630,500,0.00474305121283958
