t,input_il6,pJAK1_gp130_Obs
1800,0.1,0.000704802243587719
1800,0.1,0.000791658667129289
1800,0.5,0.000814515840154246
1800,0.5,0.000907030582901676
1800,1,0.000747053409600404
1800,1,0.00100470263071253
1800,2.5,0.00107990669099001
1800,2.5,0.0013308322543053
1800,5,0.00132577613508451
1800,5,0.00184732759314813
1800,10,0.00222573799347489
1800,10,0.00249851487106982
1800,25,0.0032077266284849
1800,25,0.00344958153415527
1800,50,0.0037707234335388
1800,50,0.00435670784731156
1800,100,0.00456153674497553
1800,100,0.00495678204708768
1800,500,0.0068835525317286
1800,500,0.00727520747008147
